# form	pos	sources — entries in no book, holding up nothing
# tools/prune.py
аврикула	n	apertium
аврыиды	?	kazdict
австро-венгрия	np	apertium
автаркты	adj	apertium
автоалаң	n	kazdict
автоара	n	apertium,baseline,kazdict
автоаудармашы	n	apertium
автоаударғыш	n	kazdict
автоағаштасығыш	n	apertium
автобақылау	n	apertium
автобелгі	?	baseline
автобөлшек	n	apertium
автовус	n	apertium
автогамия	n	apertium
автоген	n	apertium,kazdict
автогендік	?	baseline
автогенші	n	apertium,kazdict
автогравюра	?	kazdict
автодабыл	n	kazdict
автодидактика	?	kazdict
автодинамикалық	adj	apertium
автодиспетчер	n	kazdict
автодром	n	apertium,kazdict
автожорық	n	kazdict
автожуу	n	kazdict
автожуғыш	n	kazdict
автозауыт	n	apertium,kazdict
автокеруен	n	kazdict
автоклав	n	apertium
автокоммуникация	?	kazdict
автокран	n	apertium,kazdict
автокөтергіш	?	baseline
автолитография	n	apertium
автология	?	kazdict
автомат-телефон	n	kazdict
автоматтал	v	kazdict
автоматтандырылу	?	kazdict
автомобилизм	n	apertium
автомобильдік	adj	apertium
автомобильші	n	apertium,baseline,kazdict
автомоделизм	n	apertium
автомодель	n	kazdict
автомодельші	n	kazdict
автоморфизм	n	apertium
автоморфты	adj	apertium
автомотоклуб	n	apertium
автомототуризм	?	kazdict
автомұнара	n	apertium
автомәшине	n	kazdict
автонауа	n	apertium,baseline,kazdict
автоним	?	kazdict
автопойыз	n	kazdict
автопісіруші	n	apertium
авторизация	n	apertium
авторландыру	?	kazdict
авторластыр	v-trans	apertium
авторластыру	n	apertium
авторота	n	kazdict
автосадырашашқыш	n	kazdict
автосайыс	?	baseline
автосауғыш	n	apertium,baseline,kazdict
автосервис	n	apertium,kazdict
автослесарь	n	kazdict
автосоқа	n	baseline,kazdict
автоспорт	n	apertium
автостансы	n	kazdict
автостереотип	?	kazdict
автосуару	n	apertium
автосуарғыш	n	apertium,baseline,kazdict
автосуат	n	apertium,baseline,kazdict
автосуггестия	?	kazdict
автотаразы	n	apertium,baseline,kazdict
автотасымал	n	baseline,kazdict
автотежеуіш	n	apertium,baseline,kazdict
автотербелмелі	adj	kazdict
автотербеліс	n	kazdict
автотиеуіш	n	apertium,kazdict
