# form	capitalised	lower-case	works — tools/names.py
# proper names the corpus capitalises, reduced to the lemma. They go
# in as `np`, so the nominal track and nothing else.
зарипов	1	0	1
заңымызда	1	0	1
зәмзәгүл	1	0	1
иасин	1	1	2
ибатов	1	0	1
ибраш	1	0	1
иманбаев	1	0	1
индонезияда	1	0	1
инесса	1	0	1
ирландияда	1	0	1
исатаев	1	0	1
исландияда	1	0	1
исмайыл	1	1	1
итбаев	1	0	1
канн	1	0	1
караулов	1	0	1
кегок	1	0	1
кекілбайұлы	1	0	1
келгенбай	1	1	1
келдібай	1	0	1
кемелбеков	1	0	1
кенжеш	1	0	1
кенжин	1	0	1
кербұлақ	1	0	1
керімжан	1	0	1
кеңесбаев	1	0	1
кеңесбек	1	0	1
киреев	1	0	1
киселев	1	0	1
клавдия	1	0	1
конституцияға	1	0	1
кореяда	1	0	1
күзенбай	1	0	1
күлайхан	1	0	1
күлжамал	1	0	1
күлзада	1	0	1
күлия	1	0	1
күлсін	1	11	1
күмісжан	1	0	1
күнтуған	1	0	1
кәден	1	0	1
кәмилә	1	0	1
кәмшәт	1	1	2
көксарай	1	0	1
көмекбай	1	0	1
көшкінбаев	1	0	1
ленфильм	1	0	1
лесбек	1	0	1
ливанда	1	0	1
ливияның	1	0	1
литвада	1	0	1
лондонға	1	0	1
мадиярова	1	0	1
майжан	1	0	1
малайзияға	1	0	1
малдыбай	1	0	1
мамания	1	0	1
мамыржан	1	0	1
мамыров	1	0	1
манабаев	1	0	1
маруся	1	0	1
марья	1	0	1
масақбаев	1	0	1
махат	1	0	1
мағира	1	0	1
мағира	1	0	1
мақбал	1	0	1
мақұлбек	1	0	1
маңсұр	1	0	1
маңғыстаудағы	1	0	1
медетов	1	0	1
мейірбеков	1	0	1
мекебаев	1	0	1
мелдебек	1	0	1
мелс	1	0	1
мерейім	1	9	1
меңтай	1	0	1
молдабаев	1	0	1
молдажанов	1	0	1
молдажанов	1	0	1
молдахмет	1	0	1
молдахметов	1	0	1
молдағұлова	1	0	1
молодая	1	0	1
мырзалы	1	0	1
мырзатаев	1	0	1
мюнхенде	1	0	1
мұрадым	1	2	3
мұратов	1	0	1
мұстафаев	1	0	1
мұхамеджан	1	0	1
мұхамедиярова	1	0	1
мұхаммеджан	1	0	1
мұқағалидың	1	0	1
мәдібек	1	0	1
мәдіхан	1	0	1
мәжілістегі	1	3	3
мәруә	1	0	1
мәсенов	1	0	1
назарбаевты	1	0	1
назархан	1	0	1
наржан	1	0	1
насиха	1	0	1
наурызды	1	3	1
нақыпбек	1	0	1
нескен	1	0	1
нүсіпбек	1	0	1
нұрахан	1	0	1
нұрахмет	1	0	1
нұрахмет	1	0	1
нұрбота	1	0	1
нұрбүбі	1	0	1
нұрділда	1	0	1
нұрмахамбет	1	0	1
нұрмұхаммед	1	0	1
нұрмұқан	1	0	1
нұрсат	1	0	1
нұрсат	1	0	1
нұрсейт	1	0	1
нұртазин	1	0	1
нұртазин	1	0	1
нұрымов	1	0	1
нұрғазин	1	0	1
нәбиев	1	0	1
олимпиадаға	1	1	2
омарбеков	1	0	1
омарханов	1	0	1
омарханов	1	0	1
оразай	1	0	1
оразалин	1	0	1
оразалин	1	0	1
оразхан	1	0	1
оразымбетов	1	0	1
оразғали	1	0	1
оралов	1	0	1
орақов	1	0	1
орбұлақ	1	0	1
орманбек	1	0	1
орнай	1	15	1
орымбай	1	0	1
орынкүл	1	0	1
оспанова	1	0	1
оңғарсын	1	5	4
парламентаралық	1	2	3
парламентке	1	3	2
пернебай	1	0	1
пернеш	1	0	1
петролеум	1	0	1
путинге	1	0	1
пәтима	1	0	1
рабиа	1	0	1
рада	1	0	1
райкүл	1	0	1
райса	1	0	1
расұл	1	1	2
рахметов	1	0	1
рахымбай	1	0	1
рахымберді	1	0	1
рахымов	1	0	1
рейхстагқа	1	1	1
ришад	1	0	1
рудный	1	0	1
рысбай	1	0	1
рысбике	1	0	1
рысдәулет	1	0	1
рысқұлбек	1	0	1
сабырқұл	1	0	1
садуақасов	1	0	1
садыров	1	0	1
саид	1	0	1
сайраш	1	0	1
салахаддин	1	0	1
самалбек	1	0	1
саматұлы	1	0	1
самрат	1	0	1
санаев	1	0	1
сапаш	1	0	1
саракүл	1	0	1
сартаева	1	0	1
сатыбаев	1	0	1
сатыбалдин	1	0	1
саяжан	1	0	1
сейдалы	1	0	1
сейділда	1	0	1
сейсен	1	0	1
сейтенов	1	0	1
сейтжаппар	1	0	1
сейтов	1	0	1
сейтқали	1	0	1
сейтқали	1	0	1
сервис	1	4	2
серікжан	1	0	1
серіков	1	0	1
серіков	1	0	1
серікпай	1	0	1
сирияға	1	0	1
соловьев	1	0	1
сония	1	0	1
спан	1	0	1
сілеті	1	0	1
сұлтанахмет	1	0	1
сұлтанбеков	1	0	1
сәду	1	0	1
сәдуақасова	1	0	1
сәкенұлы	1	0	1
сәлімгерей	1	0	1
сәнім	1	6	2
сәрсембай	1	0	1
сәулеш	1	0	1
талдықорғандағы	1	0	1
тасбике	1	0	1
тастанбек	1	0	1
тауасар	1	0	1
тауасаров	1	0	1
ташматов	1	0	1
телман	1	0	1
теміржан	1	0	1
теміртаудағы	1	0	1
тойбазар	1	0	1
тойшыбеков	1	0	1
токиода	1	0	1
торпедо	1	0	1
тоқаевтай	1	0	1
тоқжан	1	0	1
турцияға	1	0	1
тынысбек	1	0	1
тынышбек	1	0	1
тілеубергенов	1	0	1
түркиядағы	1	0	1
тұрарбеков	1	1	1
тұраров	1	0	1
тұраров	1	0	1
тұрлыбек	1	0	1
тұрмағанбет	1	0	1
тұрсынбаев	1	0	1
тұрсынкүл	1	0	1
тұрсынов	1	0	1
тұрсынов	1	0	1
тұрсынғали	1	0	1
тұрғанбек	1	0	1
тұрғанбек	1	0	1
тұрғынбай	1	0	1
тұрғынбек	1	0	1
тәжібек	1	0	1
тәттігүл	1	0	1
төлеужан	1	0	1
төлеухан	1	0	1
төлтай	1	0	1
украинаны	1	0	1
украинаға	1	0	1
успенка	1	0	1
федерациясы	1	2	2
фердаус	1	1	2
хабарға	1	27	3
хаджар	1	0	1
халиуллин	1	0	1
хамзин	1	0	1
хамиди	1	0	1
хамидолла	1	0	1
ханчжоу	1	0	1
ходжаев	1	0	1
хромтау	1	0	1
хусайнов	1	0	1
чапай	1	0	1
шадиев	1	0	1
шахман	1	0	1
шаяхмет	1	0	1
шемонаиха	1	0	1
шертай	1	0	1
шерәлі	1	0	1
шешенстанда	1	0	1
шмидт	1	0	1
штаттарда	1	0	1
штаттарына	1	0	1
шынасыл	1	0	1
шәрбану	1	0	1
ыстамбұлда	1	0	1
эленора	1	0	1
югай	1	0	1
юнус	1	0	1
юсуф	1	0	1
якубов	1	0	1
ясир	1	0	1
ілиясова	1	0	1
ғалижан	1	0	1
қабдеш	1	0	1
қабдеш	1	0	1
қабиболла	1	0	1
қабыкен	1	0	1
қабылбай	1	0	1
қабылжан	1	0	1
қадылбек	1	0	1
қажыбек	1	0	1
қазақстанымыз	1	0	1
қазиев	1	0	1
қайратбек	1	0	1
қайса	1	0	1
қайыркен	1	0	1
қалиасқар	1	0	1
қалиасқар	1	0	1
қалила	1	0	1
қалкен	1	0	1
қалқабай	1	0	1
қамажай	1	0	1
қамила	1	0	1
қарабаев	1	0	1
қарамеңді	1	0	1
қаратомар	1	0	1
қарақалпақстаннан	1	0	1
қауымдар	1	3	3
қожахметов	1	0	1
қожахметов	1	0	1
қойбағар	1	0	1
қойбағаров	1	0	1
қойшыбаев	1	0	1
қойшыбаев	1	0	1
қордайдағы	1	0	1
қорғаста	1	0	1
қошқарбаевтың	1	0	1
қуантай	1	0	1
қуантқан	1	7	1
қуатбаев	1	0	1
қуатбек	1	0	1
қыздаркүл	1	0	1
қылышбаев	1	0	1
қыпшақбай	1	0	1
қырықбай	1	0	1
қырғызбаев	1	0	1
құбаш	1	0	1
құдайыма	1	0	1
құйқылжыр	1	2	1
құлатай	1	0	1
құлахметке	1	0	1
құлбек	1	0	1
құлжанов	1	0	1
құлтаев	1	0	1
құнанбаевтың	1	0	1
құралбай	1	0	1
құрақбай	1	0	1
құрбанов	1	0	1
құсман	1	0	1
құттыбек	1	0	1
үкібай	1	0	1
үкібай	1	0	1
үкіметті	1	11	5
үмітжан	1	0	1
үмітжан	1	0	1
үржар	1	0	1
үркерде	1	0	1
үстіртте	1	0	1
ұзақбай	1	0	1
ұзақов	1	0	1
ұлтай	1	1	1
ұлыбританияға	1	0	1
ұлыстың	1	12	3
ұмсынай	1	0	1
әбдеш	1	0	1
әбдікерім	1	0	1
әбдіраман	1	0	1
әбдіраман	1	0	1
әбдіраш	1	0	1
әбуов	1	0	1
әбілдә	1	0	1
әбілмансұр	1	0	1
әбіләкім	1	0	1
әділқазы	1	0	1
әзірбайжанда	1	0	1
әйелдерге	1	72	8
әлмерек	1	0	1
әлімов	1	0	1
әмірғали	1	0	1
әнипа	1	0	1
өзбекстанға	1	0	1
өксікбай	1	0	1
өміржан	1	0	1
өміржан	1	0	1
өмірәлі	1	0	1
өсербай	1	0	1
өстемір	1	0	1
өтемұрат	1	0	1
өтепберген	1	0	1
өтепов	1	0	1
өтепов	1	0	1
абайбек	0	0	0
абайхан	0	0	0
абайы	0	0	0
абайұлы	0	0	0
абаканов	0	0	0
абаков	0	0	0
абатбай	0	0	0
абатов	0	0	0
абатұлы	0	0	0
абашев	0	0	0
абашов	0	0	0
аббасов	0	0	0
абдали	0	0	0
абдалиев	0	0	0
абдалимов	0	0	0
абдалла	0	0	0
абдаллаға	0	0	0
абдашим	0	0	0
абдельдинов	0	0	0
абденов	0	0	0
абдешев	0	0	0
абдиашим	0	0	0
абдигали	0	0	0
абдигалиев	0	0	0
абдигани	0	0	0
абдиганиев	0	0	0
абдигаппар	0	0	0
абдигаппаров	0	0	0
абдиев	0	0	0
абдижалил	0	0	0
абдикадир	0	0	0
абдикадиров	0	0	0
абдикадыр	0	0	0
абдикадыров	0	0	0
абдикали	0	0	0
абдикалиев	0	0	0
абдикаликов	0	0	0
абдикалык	0	0	0
абдикалыков	0	0	0
абдикарим	0	0	0
абдикаримов	0	0	0
абдикерим	0	0	0
абдикеримов	0	0	0
абдикеров	0	0	0
абдикул	0	0	0
абдикулов	0	0	0
абдильдаев	0	0	0
абдильдин	0	0	0
абдильдинов	0	0	0
абдильманов	0	0	0
абдимажит	0	0	0
абдималик	0	0	0
абдималиков	0	0	0
абдиманапов	0	0	0
абдимомынов	0	0	0
абдимурат	0	0	0
абдимуратов	0	0	0
абдимуталип	0	0	0
абдинаби	0	0	0
абдинов	0	0	0
абдинур	0	0	0
абдинұр	0	0	0
абдиразак	0	0	0
абдиразаков	0	0	0
абдираимов	0	0	0
абдирасил	0	0	0
абдирасилов	0	0	0
абдихалик	0	0	0
абдихаликов	0	0	0
абдихалык	0	0	0
абдиханов	0	0	0
абдраев	0	0	0
абдразак	0	0	0
абдразаков	0	0	0
абдразах	0	0	0
абдразахов	0	0	0
абдразақ	0	0	0
абдраим	0	0	0
абдраимов	0	0	0
абдраймов	0	0	0
абдралиев	0	0	0
абдраман	0	0	0
абдраманов	0	0	0
абдрасил	0	0	0
абдрасилов	0	0	0
абдрасул	0	0	0
абдрасулов	0	0	0
абдрахим	0	0	0
абдрахимов	0	0	0
абдрахов	0	0	0
абдрахым	0	0	0
абдраш	0	0	0
абдрашев	0	0	0
абдрашид	0	0	0
абдрашит	0	0	0
абдрашитов	0	0	0
абдрашов	0	0	0
абдреев	0	0	0
абдреимов	0	0	0
абдреймов	0	0	0
абдрешев	0	0	0
абдрешов	0	0	0
абдуазиз	0	0	0
абдуалим	0	0	0
абдуалы	0	0	0
абдуахитов	0	0	0
абдували	0	0	0
абдувалиев	0	0	0
абдугали	0	0	0
абдугалиев	0	0	0
абдугани	0	0	0
абдуганиев	0	0	0
абдугаппар	0	0	0
абдугаппаров	0	0	0
абдужалил	0	0	0
абдужаппар	0	0	0
абдукадир	0	0	0
абдукадиров	0	0	0
абдукадыр	0	0	0
абдукадыров	0	0	0
абдукаликов	0	0	0
абдукарим	0	0	0
абдукаримов	0	0	0
абдула	0	0	0
абдулаев	0	0	0
абдулазим	0	0	0
абдулалим	0	0	0
абдулахад	0	0	0
абдулдаев	0	0	0
абдулин	0	0	0
абдулкарим	0	0	0
абдуллаұлы	0	0	0
абдуллаһ	0	0	0
абдуллина	0	0	0
абдуллох	0	0	0
абдулмалик	0	0	0
абдулов	0	0	0
абдулрахим	0	0	0
абдулрахман	0	0	0
абдулхаким	0	0	0
абдулхамит	0	0	0
абдулхафиз	0	0	0
абдульазиз	0	0	0
абдульманов	0	0	0
абдулғани	0	0	0
абдулқадыр	0	0	0
абдумажит	0	0	0
абдумалик	0	0	0
абдумаликов	0	0	0
абдуманап	0	0	0
абдуманапов	0	0	0
абдумуталип	0	0	0
абдумәлік	0	0	0
абдунур	0	0	0
абдунұр	0	0	0
абдуразак	0	0	0
абдуразаков	0	0	0
абдураим	0	0	0
абдураимов	0	0	0
абдураманов	0	0	0
абдурасул	0	0	0
абдурасулов	0	0	0
абдурахим	0	0	0
абдурахимов	0	0	0
абдурахманов	0	0	0
абдурахмон	0	0	0
абдурахмонов	0	0	0
абдурахым	0	0	0
абдурашид	0	0	0
абдурашит	0	0	0
абдураһим	0	0	0
абдураһман	0	0	0
абдурохим	0	0	0
абдурохман	0	0	0
абдуррахим	0	0	0
абдуррахман	0	0	0
абдуррохим	0	0	0
абдуррохман	0	0	0
абдусалам	0	0	0
абдусалим	0	0	0
абдусамад	0	0	0
абдусамат	0	0	0
абдусаттар	0	0	0
абдусаттаров	0	0	0
абдухаким	0	0	0
абдухалик	0	0	0
абдухаликов	0	0	0
абдухалил	0	0	0
абдухамид	0	0	0
абдухамит	0	0	0
абдушев	0	0	0
абдуғали	0	0	0
абдуғани	0	0	0
абдуғаппар	0	0	0
абдуәли	0	0	0
абдыбаев	0	0	0
абдыгали	0	0	0
абдыгалиев	0	0	0
абдыкадыров	0	0	0
абдыкаликов	0	0	0
абдыкалык	0	0	0
абдыкалыков	0	0	0
абдыкарим	0	0	0
абдыкаримов	0	0	0
абдыкеримов	0	0	0
абдыкулов	0	0	0
абдыманап	0	0	0
абдырахман	0	0	0
абдырахманов	0	0	0
абдыров	0	0	0
абдыхалық	0	0	0
абдыхан	0	0	0
абдыханов	0	0	0
абдығали	0	0	0
абдықадыр	0	0	0
абдықалық	0	0	0
абдірахман	0	0	0
абеев	0	0	0
абеков	0	0	0
абельдинов	0	0	0
абетаев	0	0	0
абжалиев	0	0	0
абжапаров	0	0	0
абжапбаров	0	0	0
абжаппаров	0	0	0
абзалбек	0	0	0
абзалбеков	0	0	0
абзалхан	0	0	0
абзалұлы	0	0	0
абиба	0	0	0
абижанов	0	0	0
абилбеков	0	0	0
абилгазиев	0	0	0
абилгазин	0	0	0
абилгазы	0	0	0
абилдин	0	0	0
абилжанов	0	0	0
абилкаир	0	0	0
абилкаиров	0	0	0
абилкасим	0	0	0
абилкасимов	0	0	0
абилкасов	0	0	0
абилкасым	0	0	0
абилкасымов	0	0	0
абилмажинов	0	0	0
абилмансур	0	0	0
абилсеит	0	0	0
абилсейт	0	0	0
абилхаир	0	0	0
абилхаиров	0	0	0
абилхайр	0	0	0
абилхайров	0	0	0
абилхасим	0	0	0
абилхасым	0	0	0
абиль	0	0	0
абильбеков	0	0	0
абильдаев	0	0	0
абильдин	0	0	0
абильдинов	0	0	0
абильмажинов	0	0	0
абильмансур	0	0	0
абильтаев	0	0	0
абильхаир	0	0	0
абильхан	0	0	0
абильханов	0	0	0
абинур	0	0	0
абинұр	0	0	0
абира	0	0	0
абитаев	0	0	0
абиханов	0	0	0
аблаев	0	0	0
аблай	0	0	0
аблайхан	0	0	0
аблахат	0	0	0
абраев	0	0	0
абраимов	0	0	0
абралиев	0	0	0
аброр	0	0	0
абсалямов	0	0	0
абсамат	0	0	0
абсаматов	0	0	0
абсатаров	0	0	0
абсатов	0	0	0
абсеитов	0	0	0
абубакиров	0	0	0
абубакр	0	0	0
абубакір	0	0	0
абубәкір	0	0	0
абуев	0	0	0
абулгазин	0	0	0
абулкаиров	0	0	0
абулов	0	0	0
абулхаир	0	0	0
абулхаиров	0	0	0
абулхайр	0	0	0
абулхайров	0	0	0
абулханов	0	0	0
абумансур	0	0	0
абумансұр	0	0	0
абуталипов	0	0	0
абухайыр	0	0	0
абухан	0	0	0
абылайұлы	0	0	0
абылгазин	0	0	0
абылгазинов	0	0	0
абылкаир	0	0	0
абылкаиров	0	0	0
абылкасимов	0	0	0
абылкасов	0	0	0
абыллаев	0	0	0
абылов	0	0	0
абылхаир	0	0	0
абылхан	0	0	0
абылханов	0	0	0
абылқасым	0	0	0
абыханов	0	0	0
абышев	0	0	0
абілмансур	0	0	0
абілмансұр	0	0	0
авезов	0	0	0
авенсис	0	0	0
авербухтың	0	0	0
авлияров	0	0	0
агадил	0	0	0
агадилов	0	0	0
агайдаров	0	0	0
агбай	0	0	0
агерке	0	0	0
агзамов	0	0	0
агзия	0	0	0
агибаев	0	0	0
агибай	0	0	0
агиля	0	0	0
агира	0	0	0
агис	0	0	0
агисов	0	0	0
агитаев	0	0	0
аглес	0	0	0
агния	0	0	0
агнур	0	0	0
агро	0	1	1
агробизнес	0	0	0
агроинженер	0	0	0
агропаристек	0	0	0
агрыс	0	0	0
агубаев	0	0	0
агырыс	0	0	0
адаев	0	0	0
адайбаев	0	0	0
адайбай	0	0	0
адайбеков	0	0	0
адайхан	0	0	0
адалбек	0	0	0
адалин	0	0	0
адалят	0	0	0
адамов	0	0	0
адаспаева	0	0	0
адел	0	0	0
адели	0	0	0
аделина	0	0	0
аделина	0	0	0
аделия	0	0	0
адель	0	0	0
адель	0	0	0
адельхан	0	0	0
аделья	0	0	0
аделя	0	0	0
адема	0	0	0
адемай	0	0	0
адемау	0	0	0
адемы	0	0	0
адемі	0	0	0
аденов	0	0	0
адешов	0	0	0
адиа	0	0	0
адиана	0	0	0
адиат	0	0	0
адиба	0	0	0
адиев	0	0	0
адиет	0	0	0
адиетов	0	0	0
адилгазы	0	0	0
адилгали	0	0	0
адилжанов	0	0	0
адилия	0	0	0
адилкан	0	0	0
адильбаев	0	0	0
адильбай	0	0	0
адильбек	0	0	0
адильбеков	0	0	0
адильжан	0	0	0
адильжанов	0	0	0
адильхан	0	0	0
адильханов	0	0	0
адилья	0	0	0
адиля	0	0	0
адилям	0	0	0
адима	0	0	0
адинай	0	0	0
адинұр	0	0	0
адихан	0	0	0
адиша	0	1	1
адишев	0	0	0
адияр	0	0	0
адият	0	0	0
адлан	0	0	0
адлен	0	0	0
адлет	0	0	0
адылбек	0	0	0
адылбеков	0	0	0
адылгазы	0	0	0
адылет	0	0	0
адылжан	0	0	0
адылкан	0	0	0
адылов	0	0	0
адылхан	0	0	0
адылханов	0	0	0
адыль	0	0	0
адыльбек	0	0	0
адырбаев	0	0	0
адырбек	0	0	0
адэлина	0	0	0
адэлия	0	0	0
адэль	0	0	0
адэля	0	0	0
адэма	0	0	0
аділ	0	0	0
аділбек	0	0	0
аділет	0	0	0
аділжан	0	0	0
аділхан	0	0	0
ажара	0	0	0
ажаргул	0	0	0
ажаргуль	0	0	0
ажаргүл	0	0	0
ажаркул	0	0	0
ажаркуль	0	0	0
ажарлым	0	6	1
ажгалиев	0	0	0
ажигалиев	0	0	0
ажигулов	0	0	0
ажикенов	0	0	0
ажимов	0	0	0
ажиханов	0	0	0
ажмуратов	0	0	0
азаматов	0	0	0
азаматтарға	0	20	2
азаматұлы	0	0	0
азанбаев	0	0	0
азанов	0	0	0
азатбек	0	0	0
азатов	0	0	0
азатхан	0	0	0
азатұлы	0	0	0
азбаев	0	0	0
азель	0	0	0
азеля	0	0	0
азизат	0	0	0
азизбек	0	0	0
азизжан	0	0	0
азила	0	0	0
азильхан	0	0	0
азимбеков	0	0	0
азимкулов	0	0	0
азина	0	0	0
азира	0	0	0
азнабаев	0	0	0
азретханов	0	0	0
азэль	0	0	0
аибек	0	0	0
аигерим	0	0	0
аигерім	0	0	0
аигул	0	0	0
аигуль	0	0	0
аидана	0	0	0
аидар	0	0	0
аидос	0	0	0
аидын	0	0	0
аижан	0	0	0
аиза	0	0	0
аизада	0	0	0
аиида	0	0	0
аииша	0	0	0
аийда	0	0	0
аийша	0	0	0
аикерим	0	0	0
аилин	0	0	0
аима	0	0	0
аиман	0	0	0
аимбетов	0	0	0
аимгуль	0	0	0
аимжан	0	0	0
аимкуль	0	0	0
аимхан	0	0	0
аина	0	0	0
аинагуль	0	0	0
аинур	0	0	0
аипов	0	0	0
аиса	0	0	0
аисулу	0	0	0
аитбаев	0	0	0
аитбай	0	0	0
аитов	0	0	0
аиша	0	0	0
аиым	0	0	0
айала	0	0	0
айана	0	0	0
айанат	0	0	0
айару	0	0	0
айарыс	0	0	0
айасыл	0	0	0
айаулым	0	0	0
айбану	0	0	0
айбаров	0	0	0
айбархан	0	0	0
айбаршин	0	0	0
айбаршын	0	0	0
айбарыс	0	0	0
айбарұлы	0	0	0
айбарұлы	0	0	0
айбатыр	0	0	0
айбегім	0	0	0
айбеков	0	0	0
айбекұлы	0	0	0
айбиби	0	0	0
айболатов	0	0	0
айболатұлы	0	0	0
айболган	0	0	0
айболсын	0	0	0
айболған	0	0	0
айболұлы	0	0	0
айбопе	0	0	0
айбота	0	0	0
айбуби	0	0	0
айбулат	0	0	0
айбулатов	0	0	0
айбұлан	0	0	0
айбөбек	0	0	0
айбөпе	0	0	0
айвар	0	0	0
айгазы	0	0	0
айгалиев	0	0	0
айгараев	0	0	0
айгерем	0	0	0
айгерм	0	0	0
айгерым	0	0	0
айгерім	0	0	0
айгирим	0	0	0
айгуля	0	0	0
айгүлім	0	0	0
айдабулов	0	0	0
айдамир	0	0	0
айдапкелов	0	0	0
айдара	0	0	0
айдаралиев	0	0	0
айдарбай	0	0	0
айдарбекұлы	0	0	0
айдария	0	0	0
айдаркулов	0	0	0
айдаркуль	0	0	0
айдарханов	0	0	0
айдарханұлы	0	0	0
айдарұлы	0	0	0
айдаулет	0	0	0
айджан	0	0	0
айдидар	0	0	0
айдин	0	0	0
айдина	0	0	0
айдосов	0	0	0
айдосұлы	0	0	0
айдынай	0	0	0
айдынбаев	0	0	0
айдынбек	0	0	0
айдынгалиев	0	0	0
айдынгул	0	0	0
айдынгуль	0	0	0
айдынгүл	0	0	0
айдынов	0	0	0
айдынұлы	0	0	0
айдәулет	0	0	0
айерке	0	0	0
айеркем	0	0	0
айжана	0	0	0
айжанар	0	0	0
айжанат	0	0	0
айжаным	0	0	0
айжариков	0	0	0
айжаркин	0	0	0
айжас	0	0	0
айжібек	0	0	0
айжігіт	0	0	0
айжүрек	0	0	0
айжұлдыз	0	0	0
айза	0	0	0
айзана	0	0	0
айзар	0	0	0
айзара	0	0	0
айзере	0	0	0
айзерек	0	0	0
айзиба	0	0	0
айзира	0	0	0
айзия	0	0	0
айида	0	0	0
айиша	0	0	0
айкенже	0	0	0
айкербез	0	0	0
айкерим	0	0	0
айкерім	0	0	0
айкимбаев	0	0	0
айкуль	0	0	0
айкумус	0	0	0
айкумыс	0	0	0
айкун	0	0	0
айкуним	0	0	0
айкуркем	0	0	0
айкүн	0	0	0
айкүнім	0	0	0
айкөркем	0	0	0
айлара	0	0	0
айлен	0	1	1
айли	0	0	0
айлин	0	0	0
айлина	0	0	0
айлита	0	0	0
айлу	0	0	0
айлун	0	0	0
айлуна	0	0	0
аймагуль	0	0	0
аймаков	0	0	0
айманай	0	0	0
айманбетов	0	0	0
аймангул	0	0	0
аймангуль	0	0	0
айманкуль	0	0	0
аймара	0	0	0
аймарал	0	0	0
аймат	0	0	0
аймахан	0	0	0
аймаханов	0	0	0
аймағамбетов	0	0	0
аймбетов	0	0	0
аймгул	0	0	0
аймгуль	0	0	0
аймекен	0	0	0
айменов	0	0	0
аймерей	0	0	0
аймерек	0	0	0
аймереке	0	0	0
аймжан	0	0	0
аймира	0	0	0
аймкул	0	0	0
аймкуль	0	0	0
аймон	0	0	0
аймуратов	0	0	0
аймурза	0	0	0
аймурзаев	0	0	0
аймурзин	0	0	0
аймухамбетов	0	0	0
аймуханбетов	0	0	0
аймуханов	0	0	0
аймхан	0	0	0
аймұхаммед	0	0	0
аймөлдір	0	0	0
айнабаев	0	0	0
айнагуль	0	0	0
айнаддин	0	0	0
айнадин	0	0	0
айназ	0	0	0
айназаров	0	0	0
айназия	0	0	0
айназым	0	0	0
айнакуль	0	0	0
айнакыз	0	0	0
айнакүл	0	0	0
айнамгуль	0	0	0
айнар	0	0	0
айнара	0	0	0
айнат	0	0	0
айнахан	0	0	0
айнақұлов	0	0	0
айнеков	0	0	0
айнел	0	0	0
айнель	0	0	0
айнеля	0	0	0
айниса	0	0	0
айнияз	0	0	0
айнуддин	0	0	0
айнура	0	0	0
айныкша	0	0	0
айнэль	0	0	0
айнүр	0	0	0
айнұра	0	0	0
айнәзік	0	0	0
айпарша	0	0	0
айпаршын	0	0	0
айпатша	0	0	0
айпери	0	0	0
айрат	0	0	0
айри	0	0	0
айриза	0	0	0
айрин	0	0	0
айрина	0	0	0
айрис	0	0	0
айсагалиев	0	0	0
айсаев	0	0	0
айсамал	0	0	0
айсана	0	0	0
айсанам	0	0	0
айсанат	0	0	0
айсанем	0	0	0
айсанов	0	0	0
айсапар	0	0	0
айсар	0	0	0
айсара	0	0	0
айсафи	0	0	0
айсая	0	0	0
айсезим	0	0	0
айсезім	0	0	0
айсел	0	0	0
айсель	0	0	0
айсенов	0	0	0
айсенім	0	0	0
айсер	0	0	0
айсері	0	0	0
айсерік	0	0	0
айсин	0	0	0
айслу	0	0	0
айсу	0	0	0
айсулув	0	0	0
айсулыу	0	0	0
айсун	0	0	0
айсуна	0	0	0
айсылу	0	0	0
айсымбат	0	0	0
айсұлтан	0	0	0
айсұлтан	0	0	0
айсәнім	0	0	0
айталиев	0	0	0
айтанов	0	0	0
айтбаева	0	0	0
айтбайұлы	0	0	0
айтбайұлы	0	0	0
айтбала	0	0	0
айтбеков	0	0	0
айтбиби	0	0	0
айтбике	0	0	0
айтболат	0	0	0
айтбуби	0	0	0
айтгуль	0	0	0
айтгүл	0	0	0
айтеев	0	0	0
айтеков	0	0	0
айтемир	0	0	0
айтемір	0	0	0
айтенов	0	0	0
айтжамал	0	0	0
айтжанұлы	0	0	0
айтимбетов	0	0	0
айтимов	0	0	0
айтказинов	0	0	0
айткайша	0	0	0
айткалий	0	0	0
айткамал	0	0	0
айткенов	0	0	0
айткужин	0	0	0
айткужинов	0	0	0
айткуль	0	0	0
айтмахан	0	0	0
айтмаханов	0	0	0
айтмағамбет	0	0	0
айтмағанбет	0	0	0
айтмуратов	0	0	0
айтмурзаев	0	0	0
айтмухамбетов	0	0	0
айтмухамет	0	0	0
айтмухан	0	0	0
айтмуханбетов	0	0	0
айтмуханов	0	0	0
айтмырза	0	0	0
айтмұрат	0	0	0
айтмұхамбетұлы	0	0	0
айтмұхамед	0	0	0
айтмұхаммед	0	0	0
айтмұхаммед	0	0	0
айтмұханбетұлы	0	0	0
айтов	0	0	0
айтолган	0	0	0
айтолсын	0	0	0
айтолхын	0	0	0
айтолған	0	0	0
айтпаев	0	0	0
айтпайұлы	0	0	0
айтпек	0	0	0
айтуаров	0	0	0
айтуов	0	0	0
айтуреев	0	0	0
айтуғанов	0	0	0
айтуғановтың	0	0	0
айтхан	0	0	0
айтхожин	0	0	0
айтчанов	0	0	0
айтымбетов	0	0	0
айтымов	0	0	0
айтышев	0	0	0
айтқазин	0	0	0
айтқалиев	0	0	0
айтұмар	0	0	0
айтөре	0	0	0
айфара	0	0	0
айхан	0	0	0
айханша	0	0	0
айханым	0	0	0
айхат	0	0	0
айшабибі	0	0	0
айшагул	0	0	0
айшагуль	0	0	0
