# form	capitalised	lower-case	works — tools/names.py
# proper names the corpus capitalises, reduced to the lemma. They go
# in as `np`, so the nominal track and nothing else.
қарқаралының	7	0	1
қағбаға	7	0	3
қост	7	0	1
қоңыратқа	7	0	1
қытаймен	7	0	1
құдайменді	7	0	1
үйғырша	7	0	1
әбунүсіп	7	0	1
әзіреті	7	0	2
әлтай	7	0	1
өміртай	7	0	1
айдарға	6	0	1
айқыз	6	0	3
астанада	6	6	6
ақжолдың	6	0	1
ақзейнеп	6	0	1
ақмоншақ	6	0	1
баукең	6	0	1
бекжанның	6	0	1
бектепберген	6	0	1
бижамал	6	0	1
бұхарда	6	0	1
бәдиғым	6	0	2
гауһарға	6	0	1
добрушкин	6	0	1
донның	6	0	1
дінмұқан	6	0	1
дұспанның	6	0	2
елемес	6	1	1
ерденнің	6	0	1
есқара	6	0	2
еңліктің	6	0	1
жанқия	6	0	1
жауынбаев	6	0	1
жақсымбет	6	0	1
жүгенбай	6	0	1
зарлықтың	6	0	4
игнат	6	0	1
инеш	6	0	1
итжемес	6	0	1
йесуге	6	0	1
керімбала	6	0	2
күләйім	6	0	4
көкш	6	0	1
лида	6	0	1
ләйлінің	6	0	2
мағыш	6	0	1
мақа	6	0	1
меңдігерейдің	6	0	1
министрлер	6	1	3
мубна	6	0	1
мүшіріклердің	6	0	1
мұхамәди	6	0	2
мұқтардың	6	0	1
нарынға	6	0	3
нұрымнан	6	0	1
нұрғайша	6	0	1
нұрәлі	6	0	1
омекең	6	0	1
рақымның	6	0	1
сағынған	6	39	5
семен	6	3	2
синаға	6	0	2
ситан	6	0	1
сүйіндікке	6	0	1
сұлушаштың	6	0	1
сәнжан	6	0	1
танакөзді	6	0	1
таңатар	6	0	1
теңізде	6	50	3
тоқтасын	6	6	1
түндебай	6	0	1
тұрлыбай	6	2	1
тұрлыбай	6	2	1
тұрсынның	6	0	3
төлеп	6	36	4
төлеп	6	36	4
хара	6	0	2
хатымтай	6	0	2
шалқарға	6	0	1
шаһимардан	6	0	5
шермек	6	0	1
шораның	6	0	3
шығыстағы	6	11	3
шөберең	6	0	1
ыбекең	6	0	2
қазақст	6	0	4
қалампырдың	6	0	1
қалжан	6	0	1
қалмұрат	6	0	3
қамарды	6	0	1
қантай	6	0	1
қарақалпакша	6	0	1
қарақожадан	6	0	1
қарм	6	0	1
қарқараны	6	0	1
қасымды	6	0	2
қағазбай	6	0	1
қиылдан	6	0	2
қоқыш	6	0	1
қырымның	6	0	1
құлмырза	6	0	1
құранмен	6	0	1
құртқаны	6	0	2
әзмұратов	6	0	2
әнет	6	0	1
әркімменен	6	0	1
әсетті	6	0	1
әтіке	6	0	1
өтеш	6	2	1
абаданынан	5	0	3
адаспастай	5	0	1
айдаркин	5	0	1
айнамкөз	5	0	1
айтолқын	5	0	1
айғызға	5	0	1
албандарға	5	0	1
алуаға	5	0	1
алқағанын	5	0	1
америкаға	5	0	1
асқаровтың	5	0	2
аянның	5	0	2
аянға	5	0	1
ағажүніс	5	0	3
ақберген	5	0	1
ақкірпік	5	0	1
ақмолла	5	0	1
ақтайдың	5	0	1
байторы	5	0	1
байғұл	5	0	1
байқан	5	0	1
балкүміс	5	0	1
бағдагүл	5	0	1
бекіш	5	0	2
бесқаланың	5	0	1
божыбай	5	0	1
бозбай	5	0	1
бозмұнай	5	0	1
болашаққа	5	24	4
больш	5	0	1
боржабай	5	0	1
брюссельде	5	0	2
біркімбай	5	0	1
бұланайдың	5	0	1
бұхараға	5	0	2
бәймен	5	0	1
бөстекбайым	5	0	1
венгрияда	5	0	1
гүлбаһрам	5	0	3
гүлжаһан	5	0	1
гүлім	5	16	4
гүләйша	5	0	1
дарил	5	0	1
дарханның	5	0	1
диуани	5	0	2
домбаев	5	0	3
дұғар	5	0	2
дәукен	5	0	1
евклидтің	5	0	1
египетте	5	0	1
еламаннан	5	0	1
ешнияз	5	0	1
жалайырдың	5	0	1
жаламенен	5	0	1
жанатқа	5	0	1
жапардың	5	0	1
жапашты	5	0	1
жаптырар	5	0	1
жарқымбай	5	0	2
жетіру	5	0	2
жігітекке	5	0	2
жүкен	5	0	1
жұманды	5	0	1
зарлыққа	5	0	2
зияш	5	0	1
игелстром	5	0	1
иманбаева	5	0	2
именсе	5	0	1
кавказға	5	0	1
кезерді	5	0	1
кендебай	5	0	4
кенекең	5	0	2
кенжехан	5	0	1
кондратьевич	5	0	1
красн	5	0	1
күнзия	5	0	2
кәкібай	5	0	2
кәрімнен	5	0	3
көжекбайға	5	0	2
көпекбай	5	0	1
көркейді	5	0	2
мамайдың	5	0	2
матвей	5	0	1
мақтангөйің	5	0	1
мақтым	5	0	2
медғат	5	1	2
мекерсініп	5	0	1
меруерттің	5	0	1
мешеудің	5	0	1
мирастың	5	0	1
михайлоуич	5	0	1
мұнта	5	0	1
мәжіліске	5	9	2
мәлкенің	5	0	1
мәлікаждар	5	0	3
мәтібұлақ	5	0	1
нанбасаң	5	0	1
нарынбай	5	0	1
нарында	5	0	1
нарғыз	5	0	1
наурызым	5	0	2
нүрила	5	0	1
нұрмағанбет	5	0	1
нұрперзент	5	0	2
ойжайлау	5	0	1
олжабектің	5	0	2
омбының	5	0	1
орынтай	5	0	2
павл	5	0	1
раушанбектің	5	0	3
рахметке	5	0	1
рахметті	5	0	1
сарысудың	5	0	1
сатанның	5	0	1
сатанға	5	0	1
сейілбек	5	0	1
сиғат	5	0	1
сиқымбай	5	0	2
сукроф	5	0	1
сығанақ	5	0	1
сілтегенім	5	0	1
сәдір	5	0	2
сәлкен	5	0	1
сәттібек	5	0	1
сөрсен	5	0	2
табандарым	5	0	2
талғар	5	0	2
таңжарық	5	1	3
таңменен	5	0	1
темекең	5	0	1
темірге	5	21	4
тойған	5	88	5
топжан	5	0	2
тоғайәлі	5	0	1
тоқмолда	5	0	1
тоқпамбет	5	0	3
түзелмесін	5	0	1
түктібайдың	5	0	1
түрмемен	5	0	1
тұранның	5	0	1
тәңірегінде	5	0	2
төлепке	5	0	1
төлеутай	5	0	1
фархад	5	0	1
халықпенен	5	0	1
шайзада	5	0	2
шалғымбай	5	0	1
шамас	5	0	1
шақшай	5	0	1
шепе	5	0	1
шернер	5	0	1
штаттары	5	0	3
ғаниды	5	0	1
ғақба	5	0	1
қадырғали	5	0	2
қазбалаға	5	0	1
қайрақбай	5	0	1
қайырбаев	5	0	1
қайырдың	5	0	1
қарадәу	5	0	1
қарақияның	5	0	1
қарынбайдай	5	0	2
қарғалының	5	0	1
қарқаралыда	5	0	2
қорқынышым	5	0	3
қоқанға	5	0	1
құбылай	5	0	1
құлагердей	5	0	2
құламерген	5	0	3
құрманның	5	0	1
құрымбай	5	0	1
үрмәш	5	0	1
ұлбосын	5	0	1
ұлтуған	5	0	1
ұлытауға	5	0	1
ұятсызда	5	0	1
әбікен	5	0	1
әжімгерей	5	0	1
әйтікен	5	0	1
әлмағамбет	5	0	3
әлімхан	5	0	1
әсеттен	5	0	1
өмірбек	5	0	1
өтегенді	5	0	1
абылаев	4	0	1
айшылықты	4	0	1
алаштап	4	0	1
албытып	4	0	1
алмаш	4	0	2
алтынторы	4	0	1
алтыншашқа	4	0	1
алыбай	4	0	2
алюминийлеу	4	0	1
алқакөлде	4	0	1
америкасы	4	0	2
анаксимандр	4	0	1
апрасияп	4	0	1
арғынғазы	4	0	1
арқалықтың	4	0	1
асайынға	4	0	1
асақай	4	0	1
асекең	4	0	1
афинада	4	0	3
аялдағы	4	0	2
аяшы	4	0	1
ақайдың	4	0	1
ақбаянның	4	0	1
ақберенді	4	0	1
ақиланған	4	0	1
ақсұлу	4	0	1
аққұмай	4	0	1
байсалдың	4	0	2
байсарының	4	0	1
байсейітова	4	0	2
байсеркеге	4	0	1
балсары	4	0	1
балықбай	4	0	1
балғабай	4	0	1
баршаңыздан	4	0	2
барғана	4	0	1
батарсың	4	0	1
батыраштың	4	0	1
батырашқа	4	0	1
бетпақдалада	4	0	1
бетпақты	4	0	1
бибіш	4	0	1
бодаш	4	0	1
бойков	4	0	1
болон	4	0	2
бораш	4	0	1
боштай	4	0	1
былғақтаса	4	0	1
бұхарада	4	0	1
бұқарым	4	0	1
бәкенге	4	0	1
бәкібай	4	0	1
бәтестің	4	0	1
бәтжан	4	0	1
гауһарымның	4	0	1
германның	4	0	1
групп	4	1	1
гуляны	4	0	1
гүлжауһарға	4	0	1
дарыныңды	4	0	1
деев	4	0	1
декани	4	0	1
делиде	4	0	2
диханшылар	4	0	1
додай	4	0	1
доғалға	4	0	1
дулатта	4	0	1
дәрігерге	4	30	5
дәріпбек	4	0	1
дәріш	4	0	1
дәуқараға	4	0	1
дөркембай	4	0	1
егескенді	4	0	1
елаға	4	0	1
енесей	4	0	3
еркінді	4	0	1
есенәлінің	4	0	1
етекеңмен	4	0	1
жабас	4	0	1
жайынбай	4	0	1
жалыналық	4	0	1
жаманбай	4	0	1
жандаспай	4	0	1
жапарға	4	0	1
жапырылмай	4	0	1
жастарға	4	81	10
жезқ	4	0	1
жолықтырар	4	0	2
жылкелді	4	0	1
жымпиты	4	0	2
жығыт	4	0	1
жүйкіткенде	4	0	1
жүклер	4	0	1
жұбайқан	4	0	1
жұлдызым	4	18	4
жәбікен	4	0	1
зибаш	4	0	2
зияратты	4	0	2
зұлқия	4	0	1
зәйкүл	4	0	1
иерусалимге	4	0	1
иләһым	4	0	3
имамағзам	4	0	2
иранға	4	0	1
исеке	4	0	1
йазид	4	0	2
кембілдің	4	0	1
кененнің	4	0	2
кентау	4	0	2
керімге	4	0	1
кеңесбай	4	0	2
колосовты	4	0	1
костинді	4	0	1
кремльге	4	0	1
куманикусте	4	0	2
кімдерден	4	0	1
кірекейді	4	0	2
күзембай	4	0	1
күнекей	4	0	1
күнжан	4	0	1
кәбира	4	0	1
кәмеш	4	0	1
кәрим	4	0	2
көкжардың	4	0	1
көксеректің	4	0	1
көрнекке	4	0	1
көңіліменен	4	0	1
лаплас	4	0	2
лашынға	4	0	2
лезбайдың	4	0	2
лұқпанға	4	0	2
ләйләнің	4	0	2
майасар	4	0	1
майысар	4	0	1
майқайың	4	0	2
макардың	4	0	1
мамайға	4	0	2
маржангүл	4	1	1
марқабай	4	0	1
масум	4	0	1
машаға	4	0	1
маһираға	4	0	1
медеуге	4	0	2
меңдігүлдің	4	0	1
митрофановичтің	4	0	1
молдағазы	4	0	2
молдағали	4	0	2
муддәррис	4	0	1
мүхтар	4	0	1
мұсекеңнің	4	0	1
мәжнүннің	4	0	2
мәуке	4	0	2
мөртай	4	0	1
наданлықты	4	0	1
назыкеш	4	0	1
наймантай	4	0	1
насыратдин	4	0	1
наушаруандай	4	0	1
нақыра	4	0	1
ниматаллахшылар	4	0	1
ниязды	4	0	1
нысанбай	4	0	1
нүрке	4	0	2
нүрік	4	0	1
нәбидің	4	0	2
ойылға	4	0	1
ольганың	4	0	1
орекең	4	0	1
осиф	4	0	1
османның	4	0	1
осыншадан	4	0	1
песков	4	0	1
пияласы	4	0	3
плиний	4	0	1
президентке	4	0	2
президиумының	4	0	1
рамазанды	4	0	1
рамазанға	4	0	1
раптан	4	0	1
рафаилов	4	0	1
рақила	4	0	1
рақымбек	4	0	1
риддерде	4	0	1
сазамбай	4	0	1
сайынның	4	0	1
сартау	4	0	1
сатанды	4	0	1
саумалкөл	4	0	2
сағади	4	0	1
сақан	4	0	1
себептіліктің	4	0	1
сейдуәлиге	4	0	1
сейсіметті	4	0	2
сейтжан	4	0	2
семиоз	4	0	1
сенаты	4	0	2
сербов	4	0	1
сержан	4	0	1
серкем	4	0	2
сидор	4	0	1
синаны	4	0	1
соломонович	4	0	1
сынықтай	4	0	1
сырымға	4	0	1
сұлтанмахмүт	4	0	1
сәдудің	4	0	1
сәпей	4	0	1
сәруардың	4	0	1
сәтпай	4	0	1
табари	4	0	2
табындыра	4	0	1
талдағы	4	0	1
талтаяққа	4	0	1
таняның	4	0	2
тарб	4	0	1
тарлаулары	4	0	1
тасболатқа	4	0	1
тастанның	4	0	1
тағзымдап	4	0	3
тебініңді	4	0	1
тезекбай	4	0	2
текеде	4	0	1
текештің	4	0	1
телмеңдетіп	4	0	1
теміртай	4	0	1
тиерсің	4	0	1
тобыршығы	4	0	1
тойынса	4	0	1
тоям	4	0	1
тоқбайға	4	0	1
тоқымдығы	4	0	1
тоңғанға	4	0	1
турікменше	4	0	1
тышқанбайдың	4	0	1
тыңжан	4	0	1
тілегеннің	4	0	2
тілеубайдың	4	0	2
тілеукен	4	0	2
тілеуімбет	4	0	1
түйебай	4	0	1
түксігін	4	0	1
түркіменстан	4	0	2
тұлпарымды	4	0	1
тұрсынбайдың	4	0	2
тәжи	4	0	1
тәліптің	4	0	1
тәшібай	4	0	1
тәңірекке	4	0	1
төлептің	4	0	1
төлеубай	4	0	1
төрегелді	4	0	2
уәлид	4	0	2
фақырға	4	0	1
хакімді	4	0	1
хаманның	4	0	1
хатымға	4	0	2
хорлығайын	4	0	1
чиңгиз	4	0	1
шабданбек	4	0	1
шамалған	4	0	1
шарбақбайдың	4	0	1
шауыпкел	4	0	1
шақпақшы	4	0	1
шелестов	4	0	1
шмидтің	4	0	1
шорақазы	4	0	1
шымк	4	0	1
шығанаққа	4	0	1
шөкен	4	0	1
шөменнің	4	0	1
ысрайыл	4	0	4
ягуда	4	0	1
якупов	4	0	1
іленің	4	0	1
қазыхан	4	0	1
қайныкеш	4	0	1
қайранбай	4	0	1
қайыпжан	4	0	1
қалабай	4	0	1
қаламдай	4	0	1
қалбағайдың	4	0	1
қалел	4	0	1
қалмақан	4	0	1
қамен	4	0	1
қамқаның	4	0	2
қанаев	4	0	2
қанатбай	4	0	1
қанаш	4	0	1
қандиулат	4	0	1
қаныкей	4	0	1
қарабайды	4	0	1
қаракалпақша	4	0	1
қараталдың	4	0	1
қаратастың	4	0	1
қарағандыны	4	0	2
қарақұсқа	4	0	2
қараүлекке	4	0	1
қараүлектің	4	0	1
қарбаңдадым	4	0	1
қаржастың	4	0	1
қарпықтың	4	0	1
қаршығалы	4	0	1
қарымсақ	4	0	1
қарғалы	4	3	1
қарғалысына	4	0	1
қарғысым	4	0	1
қасымдар	4	0	1
қасқырбай	4	0	1
қашқаридың	4	0	2
қағбаны	4	0	1
қақабай	4	0	1
қаңбақбай	4	0	1
қиятты	4	0	2
қозғамбайдың	4	0	1
қорыспайдың	4	0	1
қорғамбек	4	0	1
қорғанбай	4	3	1
қосшыға	4	2	1
қоқанда	4	0	2
қоқысы	4	0	1
қоңыраттың	4	0	1
қоңқайдың	4	0	1
қыбылаға	4	0	2
қыбырай	4	0	2
қызылбасқа	4	0	3
қылаңнан	4	0	1
қүнанбай	4	0	1
құдабай	4	0	1
құдияр	4	0	1
құлжабай	4	0	1
құлтай	4	0	1
құрсақтанбас	4	0	2
үкеңді	4	0	1
үрқия	4	0	1
ұлмекен	4	0	1
ұлытауда	4	0	1
ұмсындық	4	0	1
әбежан	4	0	1
әбусейіттің	4	0	1
әбіжан	4	0	1
әбікеш	4	0	1
әділге	4	0	1
әділетшің	4	0	1
әзберген	4	0	1
әзіреттен	4	0	1
әкбардың	4	0	1
әкетсем	4	0	1
әкпардың	4	0	1
әлімбет	4	0	1
әмірені	4	0	1
әсен	4	0	1
әсетке	4	0	2
әскерге	4	60	6
әукен	4	0	2
өзтүрік	4	0	1
өтегелді	4	0	2
өтеміс	4	0	4
өтеп	4	15	7
өтіңменен	4	0	1
өңіңде	4	0	1
абаның	3	0	1
абақтың	3	0	1
абиырлымын	3	0	1
абыройым	3	0	1
авенариус	3	0	2
авестаның	3	0	2
агра	3	0	1
адайбек	3	0	1
ажардың	3	0	1
азсынбай	3	0	1
айбектің	3	0	1
айгүлді	3	0	2
айдардың	3	0	2
айдарқұм	3	0	1
айдауылдың	3	0	1
айнакөлдей	3	0	1
айтыбайдың	3	0	1
айқасарға	3	0	2
айқастарда	3	0	1
айқоңыр	3	0	1
алагөлең	3	0	1
алдарға	3	0	2
алжандікі	3	0	1
алмауи	3	0	1
алпысымда	3	0	1
алтаевқа	3	0	1
алтаймен	3	0	2
алтынқазық	3	0	1
альберти	3	0	1
алқабайдың	3	0	1
алқадағы	3	0	1
амалдайсың	3	0	1
амырсана	3	0	1
анненковтың	3	0	2
аплатон	3	0	2
аппас	3	0	1
аралды	3	6	2
аралыштап	3	0	1
ардақжандай	3	0	1
ардақтан	3	0	1
артықсып	3	0	2
асайынның	3	0	1
асардың	3	0	3
асхабқа	3	0	2
асықсаң	3	0	1
асқап	3	0	1
асқақтасаң	3	0	1
асқынғанды	3	0	1
аталықовтан	3	0	1
атамановтың	3	0	1
атамбайдың	3	0	1
атекең	3	0	1
атимузнаба	3	0	1
аттанармын	3	0	1
аттырды	3	0	1
атырыну	3	0	2
аупаев	3	0	1
ахрар	3	0	1
аяжан	3	0	1
аязбенен	3	0	1
аяпберген	3	0	1
аяққұм	3	0	2
ағиба	3	0	1
ақбаев	3	0	1
ақбаянмен	3	0	1
ақбақайда	3	0	1
ақжайықтың	3	0	1
ақжелекті	3	0	1
ақжолмен	3	0	1
ақметше	3	0	1
ақмырзаның	3	0	1
ақтаев	3	0	1
ақтілеу	3	0	1
ақшал	3	0	1
ақшиден	3	0	1
ақштың	3	0	2
ақырғандай	3	0	1
аққайқыда	3	0	1
аңдыстырған	3	0	1
бабабек	3	0	1
бабурдың	3	0	1
базарбаева	3	0	2
базаргүл	3	0	1
базархан	3	0	1
байбаба	3	0	1
баймұхаммет	3	0	2
байсейітке	3	0	1
байсейіттің	3	0	1
байтелі	3	0	1
байқұн	3	0	2
баласағұнның	3	0	2
балжекеңнің	3	0	1
балпанның	3	0	1
балымайдың	3	0	1
балымның	3	0	1
балқашта	3	0	1
балқумен	3	0	1
бапаң	3	0	1
баспақбай	3	0	1
батырсынған	3	0	1
батысыңның	3	0	1
баубектің	3	0	1
баурымды	3	0	1
баянжан	3	0	2
баянмен	3	0	2
баяғыны	3	0	1
бақасу	3	0	1
бақжанов	3	0	1
бақтығүл	3	0	1
бейкер	3	0	1
бекмағамбет	3	0	1
бекторы	3	0	2
белсеніскен	3	0	1
берікбол	3	0	1
бескемпір	3	0	1
бесобаға	3	0	1
бесқаладан	3	0	1
бибажарға	3	0	1
бибидің	3	0	1
бибіні	3	0	1
бизанов	3	0	1
бикенді	3	0	1
бикешжан	3	0	2
билігіңнен	3	0	1
бируни	3	0	1
бозамды	3	0	1
бойжеткенің	3	0	1
болатов	3	0	1
бопы	3	0	1
боранбаевпен	3	0	1
ботакөзді	3	0	1
білезіктерің	3	0	1
білімдікті	3	0	1
бірмаған	3	0	1
бітімбай	3	0	1
бүрсеңінен	3	0	1
бұдабай	3	0	1
бұйықтан	3	0	2
бұланайдан	3	0	1
бұлбұлымды	3	0	1
бұлбұлының	3	0	1
бұрекеңді	3	0	1
бұрылғанша	3	0	1
бұғыбайдың	3	0	1
бұқарда	3	0	1
бұқарды	3	0	1
бәшен	3	0	1
бөктергінің	3	0	1
бөлекбай	3	0	2
бөпіш	3	0	1
валя	3	0	2
верннің	3	0	2
витя	3	0	1
волоколам	3	0	1
вьетнамда	3	0	2
гаванада	3	0	1
гаврил	3	0	1
газбенен	3	0	1
галошына	3	0	1
ганкеге	3	0	1
гауһарай	3	0	1
гекке	3	0	1
герцогке	3	0	1
гильберт	3	0	1
гогольдің	3	0	1
грузияға	3	0	1
гүлкенге	3	0	1
гүлкәшима	3	0	1
гүләндам	3	0	2
гүрзісін	3	0	2
гөрханаға	3	0	1
дайырдың	3	0	2
далдабай	3	0	1
даналығыңмен	3	0	1
дандун	3	0	1
данконың	3	0	1
дариғаны	3	0	2
дарқанның	3	0	1
дағыстанда	3	0	1
даңғыланбай	3	0	2
демесінге	3	0	1
денеңнің	3	0	1
дерттенген	3	0	1
дикті	3	0	1
дозамды	3	0	1
доржи	3	0	1
досмұхамедұлы	3	0	1
достан	3	26	2
достоевскийдің	3	0	1
досхан	3	0	1
дулатқа	3	0	1
думандап	3	0	1
ділдәбек	3	0	1
дінмұсылман	3	0	2
діншілдікпен	3	0	1
дініңнің	3	0	3
дүрияға	3	0	1
дүрлерді	3	0	1
дұспанға	3	0	1
дәлдуге	3	0	1
дәменнің	3	0	2
дәметкенді	3	0	3
дәнің	3	0	1
дәулетбайға	3	0	2
дәулетияр	3	0	1
дөңіздің	3	0	1
егесім	3	0	1
еккенің	3	0	1
елемеске	3	0	1
енешіңнің	3	0	1
ерейменге	3	0	1
еркеназ	3	0	1
еркешті	3	0	2
ерлігі	3	42	7
ермектен	3	0	1
еруліге	3	0	1
ерінбесең	3	0	1
есбике	3	0	1
есекең	3	0	1
есембайдан	3	0	2
есеналының	3	0	1
есенқұловтың	3	0	1
естемес	3	0	2
есілдей	3	0	1
есімханның	3	0	2
есірдің	3	0	1
ефросинья	3	0	2
ехлас	3	0	1
жабайдай	3	0	1
жабайға	3	0	1
жабдықтанған	3	0	1
жабыларсың	3	0	1
жайбасардың	3	0	1
жайту	3	0	1
жалаиридың	3	0	2
жалайырлар	3	0	1
жалбырайды	3	0	1
жалғызқазық	3	0	1
жамалбек	3	0	2
жамандармен	3	0	1
жамбасыңнан	3	0	1
жанабіл	3	0	1
жанаевтардың	3	0	1
жанболаттың	3	0	1
жанғожадан	3	0	1
жанқабылов	3	0	1
жапекпенен	3	0	1
жаппардың	3	0	1
жараланғыштау	3	0	1
жарбаңдасар	3	0	1
жаролла	3	0	1
жарыпшыққан	3	0	1
жарқұмар	3	0	1
