# stem	patterns	forms	book-weight	bare — tools/discover.py
# candidates held back for being one letter from an entry. Most are
# that entry misspelt; some are words with an unlucky neighbour.
күлк	5	3	8	54
этаж	26	14	181	53
нез	12	9	44	53
қондыбай	8	7	40	53
досмұхамедов	8	4	18	53
жиенбай	4	3	17	53
өмірбек	9	3	11	53
рер	3	3	11	53
фрейд	12	8	60	52
мұңал	13	7	39	52
рус	10	7	31	52
әмірхан	3	3	13	52
беков	5	3	13	52
мәс	3	4	13	52
емесп	3	4	134	51
дача	26	22	126	51
орманов	16	8	47	51
қасымхан	6	5	43	51
николаевна	5	5	26	51
зген	7	4	21	51
қаратас	6	4	18	51
тілмәш	8	4	11	51
эмба	3	3	8	51
маната	9	9	76	50
тоныкөк	22	11	60	50
сығанақ	11	5	56	50
илиада	11	10	54	50
рейн	16	10	53	50
илә	4	4	44	50
леу	10	7	39	50
қастек	16	8	34	50
тайжан	7	5	25	50
төкен	4	4	24	50
әлімхан	6	5	23	50
ваня	7	6	21	50
пос	16	9	21	50
айты	6	5	14	50
керітартпа	6	3	7	50
жүрм	4	5	337	49
етк	5	3	113	49
солон	10	7	49	49
евразия	3	4	39	49
гриша	6	6	35	49
триста	4	3	28	49
оразалин	6	3	20	49
қойшыбай	4	3	15	49
күйбің	4	3	8	49
үлг	3	3	6	49
авеста	9	9	104	48
түркменстан	8	6	72	48
конт	13	8	46	48
қалибек	15	7	44	48
сейтек	15	8	42	48
теб	6	6	37	48
ұсынбақ	8	5	35	48
жимақ	6	4	18	48
тынбақ	7	4	14	48
сариев	5	3	11	48
дербент	14	7	45	47
дәмеш	10	5	44	47
қоңырбай	7	7	44	47
рұм	9	6	44	47
исмаилов	7	5	43	47
рашиди	12	8	39	47
тұрлыбек	10	5	35	47
хорезми	8	5	25	47
зап	6	4	24	47
зухра	5	5	23	47
тіней	6	5	22	47
лұқман	7	5	21	47
қабдеш	7	3	19	47
әрк	5	4	15	47
бисен	3	3	10	47
ото	4	3	10	47
күнн	3	3	6	47
сін	19	13	96	46
лир	10	7	40	46
мерв	16	9	38	46
валя	5	5	32	46
жаңай	9	7	31	46
тортай	7	6	22	46
өтеш	10	4	19	46
көнбек	6	5	17	46
мәкен	7	5	17	46
итбай	8	5	16	46
тке	3	3	66	45
кұм	21	14	62	45
өні	6	6	27	45
карпат	6	4	26	45
мұсабай	4	3	22	45
тәкен	6	5	22	45
стена	6	6	17	45
сословия	3	3	15	45
резинка	3	3	12	45
вуз	5	3	9	45
салман	4	3	7	45
жән	6	5	2751	44
сыйқы	13	13	101	44
зәуреш	13	6	49	44
тобыш	17	9	47	44
аюке	7	7	40	44
карелин	9	6	31	44
берке	6	6	29	44
секс	11	5	29	44
шалабай	7	5	26	44
қонысбай	6	4	22	44
сегізбай	5	4	21	44
