# stem	patterns	forms	book-weight	bare — tools/discover.py
# candidates held back for being one letter from an entry. Most are
# that entry misspelt; some are words with an unlucky neighbour.
ысрайыл	11	4	10	17
куплет	7	4	9	17
кұлақ	6	3	9	17
маңғытай	5	3	9	17
орион	4	3	9	17
сүйімбай	4	3	9	17
чик	7	4	9	17
шекен	3	3	9	17
парс	8	4	8	17
нүсіпбек	8	3	7	17
фән	5	3	7	17
свифт	7	3	6	17
сәбе	13	13	179	16
асс	13	7	110	16
бауке	11	10	98	16
маңлай	14	16	61	16
алт	9	8	51	16
штрек	18	9	46	16
фор	8	7	39	16
афин	10	6	28	16
иудея	7	7	27	16
бән	7	4	23	16
врангель	11	5	21	16
хаса	3	3	21	16
яса	10	9	21	16
понт	10	6	18	16
көксай	6	5	17	16
қанбақ	6	3	17	16
үғым	8	5	17	16
биллиард	10	4	16	16
боря	4	4	16	16
сүл	3	3	16	16
италиян	6	4	15	16
сетка	6	5	15	16
строс	9	6	14	16
бабатай	3	3	13	16
белл	6	4	13	16
екідай	4	3	13	16
крез	8	3	13	16
сарбұлақ	9	5	13	16
шәлгез	8	4	13	16
шәріф	8	4	13	16
ғыз	6	5	12	16
көмбес	4	3	12	16
қайырхан	6	4	12	16
мәуке	3	3	12	16
ренан	4	4	12	16
бұй	4	4	11	16
көгедай	4	3	11	16
сұмса	4	4	10	16
коман	6	4	9	16
құбаш	10	4	9	16
маманов	7	3	9	16
нек	5	3	9	16
оғұз	9	4	9	16
барыня	5	4	8	16
клава	3	3	8	16
қоқыш	6	3	8	16
қыбырай	4	3	8	16
павлик	7	3	8	16
қарақойын	3	3	7	16
балжанов	6	3	6	16
хайдаров	5	3	6	16
кенеке	7	9	60	15
шкап	21	10	55	15
кұл	22	14	50	15
қайс	3	3	43	15
озал	21	11	38	15
қоблан	9	8	36	15
бурбон	10	6	32	15
горчаков	8	6	31	15
фуражке	9	7	28	15
энеолит	11	7	27	15
тәти	9	6	26	15
понти	4	3	23	15
өскембай	6	5	22	15
һәмме	8	6	21	15
йол	13	8	20	15
лім	11	6	20	15
әлдеке	5	5	19	15
базеке	4	4	19	15
қаранай	5	4	19	15
шэн	9	6	19	15
жәнтекей	8	5	18	15
канг	4	4	18	15
айеке	4	4	17	15
ділла	6	4	17	15
атлантида	6	5	15	15
байбаков	8	6	15	15
күлшат	10	6	15	15
пенни	9	6	15	15
уәлид	8	4	14	15
пантүркизм	7	4	13	15
леня	4	4	11	15
шетк	4	3	11	15
юнга	4	4	11	15
жүндібай	4	3	10	15
матақ	10	4	10	15
процессия	5	4	10	15
хатымтай	5	4	10	15
шадрин	3	3	10	15
біліг	7	3	9	15
дәмежан	3	3	9	15
мэрия	4	4	9	15
сарафан	4	3	9	15
архип	7	3	8	15
атантай	6	4	8	15
мишле	3	3	8	15
солтан	3	3	8	15
япон	5	3	8	15
брехт	9	3	7	15
матрена	3	3	7	15
районо	3	3	7	15
джинс	7	3	6	15
инда	3	3	6	15
харон	4	3	6	15
рах	11	13	551	14
фак	33	20	302	14
біті	12	13	171	14
көнш	19	19	123	14
үйық	10	7	83	14
өтеке	7	7	71	14
тте	8	10	67	14
қасқара	7	6	58	14
нәке	9	9	55	14
секрета	14	11	50	14
жужан	14	8	44	14
сапеке	4	4	37	14
алта	7	6	36	14
галлия	7	7	34	14
стамбол	10	5	32	14
өсеке	7	7	28	14
озі	4	5	27	14
сити	6	5	27	14
баршагүл	15	7	26	14
жәркент	8	4	23	14
басыра	6	6	20	14
ранке	4	4	20	14
уағада	10	7	20	14
йүз	7	6	19	14
раджа	9	7	18	14
ксеркс	5	3	17	14
құмбел	11	4	17	14
түке	6	6	17	14
сарқамыс	5	3	16	14
нүрила	4	4	15	14
әлеуке	4	4	14	14
дах	7	4	14	14
қыбла	4	4	14	14
нұран	4	3	14	14
тіріклік	9	5	14	14
шәуке	3	3	14	14
ася	3	3	13	14
дантон	3	3	13	14
құшынаш	12	5	13	14
мексикан	6	4	13	14
тәрбия	7	6	13	14
құтжан	3	3	12	14
моғұл	10	5	12	14
шашин	9	5	12	14
шотай	4	3	12	14
кәрие	5	3	11	14
кұрал	4	3	11	14
саңырық	8	3	11	14
әжіке	3	3	10	14
варя	3	3	10	14
маршак	6	3	10	14
табғач	7	4	10	14
төрткөл	7	3	10	14
зарипов	5	3	9	14
үрегей	3	3	9	14
бұхари	4	3	8	14
дауд	7	3	8	14
мели	6	3	8	14
мпаз	7	3	8	14
соғда	5	3	8	14
судак	8	3	8	14
шафран	3	3	8	14
шыбыл	8	3	8	14
эле	3	3	8	14
дәулетхан	3	3	7	14
қабден	3	3	7	14
сарқан	4	3	7	14
төкеш	7	3	7	14
түсіпбек	8	3	7	14
уйсун	3	3	7	14
фок	7	3	7	14
исахан	3	3	6	14
көбеш	6	3	6	14
күшәла	4	3	6	14
порма	4	3	6	14
прибой	5	3	6	14
рсек	3	3	6	14
цзи	6	3	6	14
тиыл	34	34	413	13
нбе	27	23	170	13
әбе	13	12	141	13
күмәнда	11	16	80	13
спе	8	7	78	13
күна	17	12	59	13
кирелең	5	4	48	13
сыйпат	17	12	48	13
пет	10	8	45	13
бекета	4	3	42	13
қодеке	6	7	38	13
қалі	6	7	33	13
қарой	8	7	33	13
медина	7	7	33	13
альп	4	4	32	13
қалде	3	4	31	13
сөзле	8	10	30	13
патриций	12	7	25	13
якоби	13	9	24	13
ілез	5	3	23	13
лын	6	6	21	13
моңғолстан	5	4	21	13
олжеке	3	3	21	13
фра	4	4	21	13
ғал	7	4	19	13
иза	4	4	19	13
қосеке	4	4	19	13
ханқожа	7	6	19	13
қызылкөл	8	3	18	13
үлк	5	4	17	13
зорбай	5	4	16	13
назымбек	13	6	16	13
судия	8	5	16	13
суяб	11	5	16	13
тыныбай	5	4	16	13
ангара	4	4	15	13
балағаз	10	5	14	13
барнауыл	5	3	14	13
зақ	7	5	14	13
қарымбай	4	3	14	13
әка	6	4	12	13
бекбауыл	13	6	12	13
кин	11	5	12	13
қозан	5	4	12	13
шүн	8	4	12	13
байтасов	10	4	11	13
итқара	3	3	11	13
казақстан	5	3	11	13
моро	4	4	11	13
чау	7	4	11	13
күлжамал	8	3	10	13
милет	8	4	10	13
парфенон	3	3	10	13
сидақ	7	3	10	13
энд	7	4	10	13
ажыбай	4	3	9	13
бәби	7	4	9	13
жұманов	5	3	9	13
эрлик	7	3	9	13
ақаш	10	4	8	13
ауғаныстан	5	3	8	13
ғалдан	3	3	8	13
кааба	3	3	8	13
қадірбек	7	3	8	13
махбүб	7	3	8	13
раптан	3	3	8	13
смен	4	3	8	13
уазифа	6	3	8	13
кенебай	4	3	7	13
михайло	3	3	7	13
отгон	5	3	7	13
тройке	3	3	7	13
аспантай	4	3	6	13
жақаш	7	3	6	13
зекен	3	3	6	13
кенжехан	4	3	6	13
пәй	4	3	6	13
щорс	6	3	6	13
клас	54	32	911	12
сеу	3	3	405	12
кита	4	4	140	12
ғабе	9	10	128	12
мұрад	6	8	114	12
тәңірие	27	18	89	12
мачта	21	14	74	12
скв	10	9	58	12
қанеке	7	6	53	12
сасанид	6	3	46	12
әдеке	9	8	38	12
эге	3	3	31	12
қарақытай	16	8	29	12
шәпке	7	6	29	12
хол	13	6	27	12
корзина	7	6	26	12
колонка	8	6	23	12
айрес	7	4	22	12
жанбол	11	4	22	12
әлке	5	5	20	12
бәтуә	4	3	19	12
шүбһә	7	7	19	12
алтынбай	9	5	18	12
мейрамхан	7	6	18	12
лыс	13	7	17	12
сәлімбай	7	5	17	12
агра	5	5	15	12
генс	6	4	15	12
әлмерек	10	4	14	12
қүдай	5	4	14	12
егінбай	5	4	13	12
кейнс	9	4	13	12
медея	4	4	13	12
сорель	10	4	13	12
зеріп	7	3	12	12
кәмеш	10	4	12	12
киото	3	3	12	12
әнә	4	4	11	12
әнипа	3	3	11	12
жаманай	4	3	11	12
колька	3	3	11	12
сахра	4	4	11	12
сумке	6	5	11	12
харбин	5	4	11	12
цветаева	3	3	11	12
аманниязов	5	3	10	12
диктат	7	4	10	12
злобин	5	4	10	12
мәртаба	4	3	10	12
мора	4	4	10	12
рэкет	5	3	10	12
сыддық	10	5	10	12
балзия	3	3	9	12
исхаков	5	3	9	12
сарықыз	7	4	9	12
телжанов	7	3	9	12
дуня	3	3	8	12
кұбылыс	6	3	8	12
молдажан	5	4	8	12
сыртанов	7	3	8	12
аллей	4	3	7	12
әзірбай	4	3	7	12
долон	5	3	7	12
исмайылов	7	3	7	12
шотана	4	3	7	12
иден	3	3	6	12
кирил	5	3	6	12
болғ	5	3	372	11
шуме	27	19	196	11
лме	12	11	174	11
өлг	6	6	174	11
мағна	13	11	86	11
ғауаз	25	20	76	11
пәленшеке	7	7	53	11
сегмент	23	12	53	11
медал	27	13	52	11
есаға	4	5	46	11
іст	4	3	42	11
фива	15	12	39	11
қабен	10	7	26	11
ақборық	12	5	25	11
біре	4	6	24	11
гек	9	5	24	11
даса	12	6	24	11
кәнпеске	9	8	24	11
жаллат	14	8	23	11
маян	6	6	23	11
таха	4	4	23	11
балашов	14	8	21	11
сүке	4	4	20	11
өсі	3	4	19	11
слобода	9	8	19	11
туғ	3	3	19	11
алена	6	5	18	11
гавана	5	5	18	11
жалмұқан	9	6	18	11
күлеке	3	3	17	11
пешет	3	3	17	11
сақаба	8	6	17	11
марияш	10	4	16	11
сартоғай	4	4	16	11
гея	3	3	15	11
қадеке	3	3	15	11
сұлтанай	9	7	15	11
абиссиния	9	6	14	11
вит	7	4	14	11
йаш	8	5	14	11
элей	5	3	14	11
бактра	4	3	13	11
минуті	3	3	13	11
рейх	6	3	13	11
бұтабай	4	3	12	11
иима	3	3	12	11
мосс	5	3	12	11
өкілет	6	4	12	11
сымайыл	10	5	12	11
лозанна	3	3	11	11
мамырбай	5	3	11	11
мұғыл	8	4	11	11
рдек	5	3	11	11
сатаева	3	3	11	11
бектай	6	4	10	11
гримм	5	3	10	11
кінарат	6	4	10	11
қанаш	7	3	10	11
құрманай	5	3	10	11
перме	4	4	10	11
сашка	3	3	10	11
төленгіт	5	4	10	11
ахырет	4	3	9	11
застав	7	4	9	11
күреңбай	5	4	9	11
һәммә	4	3	9	11
шәрбан	3	3	9	11
оракул	7	4	8	11
санд	5	3	8	11
сеялка	3	3	8	11
фламанд	5	3	8	11
боқаш	8	3	7	11
керел	8	3	7	11
қабыкен	3	3	7	11
ңіз	6	3	7	11
әділқан	3	3	6	11
балабек	7	3	6	11
назымжан	4	3	6	11
рахымбек	7	3	6	11
көрініш	11	7	105	10
білмейм	5	5	97	10
софизм	23	14	63	10
түлға	11	8	58	10
раха	5	5	49	10
мака	4	4	48	10
ізд	3	3	45	10
хижаз	7	4	34	10
мери	9	6	31	10
сектант	12	6	31	10
ішк	5	4	31	10
ураз	4	4	30	10
ліг	8	6	29	10
сервант	14	7	28	10
форым	8	6	28	10
байта	10	8	27	10
родо	6	5	27	10
елеке	5	6	25	10
құрлыс	12	7	25	10
ғаза	5	6	24	10
кақ	9	8	23	10
қабылет	7	5	23	10
арун	8	5	21	10
амана	5	5	19	10
бәйділда	5	5	19	10
кербие	3	3	19	10
құндызай	6	6	18	10
байбақов	5	3	17	10
рыл	6	3	17	10
досмухамедов	3	3	16	10
ақірет	5	3	15	10
отряді	4	4	15	10
эдда	5	4	15	10
атт	4	3	14	10
қөз	8	5	14	10
садақбай	5	4	14	10
абдол	9	3	13	10
бегенов	8	4	13	10
мод	3	3	13	10
нанкин	6	4	13	10
нік	5	3	13	10
паллада	3	3	13	10
хиял	12	6	13	10
джума	3	3	12	10
күлзипа	3	3	12	10
үйқы	5	5	12	10
шағдат	8	4	12	10
бабаджанов	3	3	11	10
бейсеуов	7	3	11	10
бірдене	6	5	11	10
сымағұл	7	3	11	10
баржы	6	3	10	10
қандағаш	6	3	10	10
мәдібек	12	5	10	10
эре	4	4	10	10
айнық	9	3	9	10
қыдыш	6	3	9	10
пәнда	3	3	9	10
хилл	7	4	9	10
ақсарай	5	3	8	10
ақтандақ	8	4	8	10
жолайырық	5	3	8	10
оқан	3	3	8	10
боққара	3	3	7	10
йағ	4	3	7	10
кембай	5	3	7	10
көгез	8	3	7	10
лым	7	3	7	10
таити	5	3	7	10
шварц	7	3	7	10
асқап	5	3	6	10
краз	4	3	6	10
мехмед	7	3	6	10
халаф	7	3	6	10
шамғұн	4	3	6	10
шәмен	4	3	6	10
халд	16	20	254	9
кіна	31	30	159	9
езд	13	16	154	9
модел	27	13	47	9
сале	4	4	32	9
сұлтеке	4	5	31	9
папкі	15	10	30	9
қозыеке	9	9	28	9
спирит	15	8	27	9
ыбеке	3	3	22	9
варна	7	6	21	9
жәніке	8	8	21	9
окс	9	5	21	9
симуляция	10	9	21	9
үрт	5	3	21	9
мырқал	11	4	20	9
хұда	6	6	20	9
есіргеп	19	9	19	9
қаратаз	12	5	19	9
мәйке	8	8	19	9
мадрас	7	4	18	9
мүшайра	8	7	17	9
жіг	5	4	16	9
лоян	5	4	16	9
гуньмо	5	5	15	9
қошалақ	10	4	15	9
мәзһаб	9	5	15	9
парфян	6	3	15	9
сулла	3	3	14	9
топика	5	5	14	9
боткин	7	4	13	9
көбентай	6	5	13	9
сита	7	6	13	9
хорен	5	4	13	9
аймаутов	3	3	12	9
мақпалжан	4	4	12	9
дерект	4	4	11	9
майқұдық	7	4	11	9
манг	3	3	11	9
мөржан	6	5	11	9
руан	3	3	11	9
сух	3	3	11	9
сұртай	4	3	11	9
уба	5	5	11	9
боу	4	3	10	9
ғаж	4	4	10	9
яшт	11	5	10	9
әһл	5	3	9	9
біра	3	3	9	9
кереке	4	3	9	9
локи	7	4	9	9
оливье	3	3	9	9
пешпент	4	3	9	9
рық	5	4	9	9
сарыоба	4	4	9	9
сәркен	3	3	9	9
табай	6	4	9	9
шоңбай	4	3	9	9
байбала	3	3	8	9
бейт	5	3	8	9
гяур	3	3	8	9
жұмай	4	3	8	9
қазакстан	5	3	8	9
неман	3	3	8	9
прус	8	4	8	9
сабырбек	7	3	8	9
сарыүйек	7	3	8	9
үше	3	3	8	9
ханаан	6	4	8	9
кұлын	4	3	7	9
қарабұтақ	7	3	7	9
табити	6	3	7	9
әліпбай	5	3	6	9
басбай	4	3	6	9
трубке	4	3	6	9
апт	7	9	111	8
олтыр	14	14	52	8
әзеке	8	7	35	8
рубка	10	10	34	8
комит	4	4	33	8
басқ	3	3	32	8
кпе	5	5	32	8
өмеке	5	5	32	8
мединститут	14	7	29	8
але	5	5	26	8
пад	6	7	24	8
кәстрөл	16	7	23	8
шия	8	6	23	8
солқыл	8	4	22	8
йет	6	4	20	8
шарп	12	8	20	8
иде	4	4	19	8
йаз	8	6	19	8
лтипат	6	5	18	8
маянбай	5	4	18	8
оде	4	4	18	8
омеке	5	5	18	8
әйеке	5	5	17	8
мағұлмат	8	5	17	8
маһди	11	7	17	8
мінәжатхана	6	6	17	8
усков	7	5	17	8
хаус	8	4	17	8
кюре	7	6	16	8
марғұба	5	5	16	8
патима	4	4	15	8
ықа	6	5	15	8
бәйбек	10	4	14	8
бұд	8	5	14	8
елаға	3	4	14	8
жәмеш	10	4	14	8
колба	8	7	14	8
қосарал	10	5	14	8
роджерс	12	5	14	8
күмәны	5	4	13	8
лакан	6	5	13	8
неофит	11	5	13	8
парн	9	5	13	8
ашари	7	4	12	8
борей	4	3	12	8
дахака	4	4	12	8
науырыз	7	4	12	8
шігіл	5	3	12	8
баринов	7	3	11	8
жанаш	7	5	11	8
қытан	6	4	11	8
таңыбай	4	3	11	8
экспанция	6	5	11	8
астахов	8	4	10	8
жапеке	4	4	10	8
жүлдыз	5	3	10	8
керімбала	3	3	10	8
қаршеке	3	4	10	8
тәтен	4	4	10	8
шаһбал	9	4	10	8
жағырафия	3	3	9	8
канн	4	3	9	8
люся	3	3	9	8
манш	5	3	9	8
шиан	4	4	9	8
әпен	3	3	8	8
божанов	5	3	8	8
динго	3	3	8	8
дия	3	3	8	8
елеңке	3	3	8	8
жеткір	3	3	8	8
йат	6	4	8	8
күмбет	5	3	8	8
мәкіш	7	3	8	8
отырық	6	3	8	8
рал	5	3	8	8
саламин	5	3	8	8
фәлак	10	4	8	8
эдик	9	4	8	8
әулад	3	3	7	8
дөн	8	3	7	8
ералин	6	3	7	8
кебеке	3	3	7	8
кюе	3	3	7	8
қарамұрт	7	3	7	8
мақай	3	3	7	8
стачка	3	3	7	8
хұрма	3	3	7	8
шәкей	5	3	7	8
абарис	6	3	6	8
әйіп	7	3	6	8
вик	6	3	6	8
мақұлқат	5	3	6	8
обьект	5	3	6	8
степнов	7	3	6	8
феод	4	3	6	8
коммунис	41	27	729	7
сиы	21	20	326	7
қараке	22	23	228	7
кетке	4	3	211	7
сұрқ	11	12	196	7
әрп	5	4	149	7
сұн	15	14	98	7
келтірім	37	21	97	7
шұбарта	11	10	83	7
маха	10	11	69	7
княз	20	11	55	7
ибра	3	3	51	7
білі	8	7	50	7
кенек	9	5	45	7
ілек	14	9	43	7
әнеке	6	6	40	7
берда	4	4	39	7
қашеке	4	6	33	7
нүрке	5	5	33	7
мұс	8	5	30	7
ілеке	3	3	29	7
байте	5	5	26	7
ңке	7	6	26	7
отр	6	4	26	7
харіп	18	8	26	7
пария	12	9	25	7
әлжеке	7	6	24	7
кубрик	12	6	23	7
йақ	9	5	21	7
пәлсәпа	7	6	20	7
сах	8	5	20	7
фарн	9	6	20	7
гүлия	6	6	19	7
манчжурия	5	5	19	7
мәртөбе	6	6	19	7
суғ	4	3	19	7
шалеке	3	3	19	7
ика	3	3	17	7
күллият	12	6	17	7
пәкстан	7	5	17	7
шиел	5	4	17	7
ава	3	3	16	7
алм	5	5	16	7
өшірет	6	4	16	7
сарарқа	4	4	16	7
сәрке	5	4	16	7
стерн	7	4	16	7
антогонизм	8	5	15	7
олеша	6	6	15	7
рақа	4	4	15	7
ханжан	7	5	15	7
алк	3	3	14	7
әтрет	10	7	14	7
бағышла	6	5	14	7
бэла	5	5	14	7
ғабеке	3	3	14	7
делдаш	13	6	14	7
констант	8	4	14	7
қасқабай	4	3	14	7
панса	7	7	14	7
рға	5	5	14	7
бақия	6	5	13	7
қаңлыбай	5	4	13	7
шид	5	5	13	7
бейли	8	5	12	7
дува	4	4	12	7
йүзі	12	6	12	7
касог	9	4	12	7
маро	3	3	12	7
ржол	8	4	12	7
темке	3	3	12	7
ука	5	5	12	7
барпария	3	3	11	7
кубра	3	3	11	7
күләйхан	5	4	11	7
мбай	4	3	11	7
тамим	9	5	11	7
тами	3	3	11	7
язид	9	4	11	7
әнеш	10	4	10	7
бренди	6	3	10	7
жайырбек	11	5	10	7
заимке	4	4	10	7
көтеке	3	4	10	7
қараүйрек	10	4	10	7
мелиса	5	4	10	7
мойка	4	4	10	7
мілиса	7	4	10	7
төйте	3	3	10	7
янв	4	4	10	7
бургун	4	3	9	7
дофин	8	4	9	7
итеке	3	3	9	7
қанғ	3	3	9	7
мише	3	3	9	7
нарқыз	8	3	9	7
секрек	7	3	9	7
һүр	7	4	9	7
шланга	4	4	9	7
ариадна	3	3	8	7
бланшо	3	3	8	7
кирилов	5	3	8	7
ницца	3	3	8	7
нюра	3	3	8	7
полли	7	4	8	7
самақ	8	4	8	7
айымкүл	8	3	7	7
альпа	3	3	7	7
бозоқ	8	3	7	7
бронников	7	3	7	7
галле	3	3	7	7
ғұл	4	3	7	7
екібай	5	3	7	7
кағба	3	3	7	7
қуатжан	3	3	7	7
махдум	6	3	7	7
моменті	3	3	7	7
содия	4	3	7	7
тамил	7	3	7	7
тұлақ	6	3	7	7
шашбай	4	3	7	7
аккум	3	3	6	7
ақорал	9	3	6	7
барра	3	3	6	7
йыр	7	3	6	7
ләж	3	3	6	7
рбай	4	3	6	7
журналис	38	25	531	6
контекс	27	16	171	6
зах	8	9	88	6
шапат	8	5	78	6
ыла	13	13	73	6
саке	4	4	61	6
хиса	4	4	56	6
кауіп	18	10	53	6
келмеге	4	3	53	6
жос	10	8	46	6
пысыр	9	10	40	6
ынд	3	3	40	6
теоретика	5	3	38	6
гуа	8	7	37	6
шәмс	9	10	37	6
шына	7	7	32	6
нөк	3	3	30	6
биша	11	14	29	6
кұда	4	3	29	6
мару	4	4	28	6
иша	7	6	27	6
үшы	3	3	27	6
һұш	9	7	26	6
авансцена	3	3	25	6
егжетей	12	8	25	6
көктай	4	7	25	6
руа	6	5	24	6
бойс	12	9	23	6
галлерея	9	8	23	6
селихов	12	6	23	6
тоталь	6	4	23	6
лейн	11	6	21	6
әупіш	12	5	20	6
шпага	6	5	20	6
ылық	3	3	20	6
ғаз	4	3	19	6
имлақ	11	5	19	6
молтай	8	6	19	6
окиға	10	7	19	6
папке	7	6	19	6
усе	3	3	18	6
һамра	10	9	18	6
шәп	4	4	18	6
язы	8	6	18	6
аллюзия	11	7	17	6
бейжін	4	4	17	6
күніке	5	5	17	6
фазис	12	8	17	6
белгия	6	5	16	6
кнәз	15	6	16	6
жалут	10	5	15	6
жиа	6	5	15	6
мүйнет	6	4	15	6
һижра	4	4	15	6
дәрд	5	5	14	6
көбеке	5	4	14	6
орақа	5	5	14	6
тангут	8	5	14	6
ылия	5	5	14	6
суфия	4	3	13	6
әшеке	3	3	12	6
жәрменке	5	5	12	6
кошо	3	3	12	6
маке	3	3	12	6
мехрап	8	4	12	6
сычуан	6	4	12	6
шейлок	9	4	12	6
әнуәрбек	11	5	11	6
бәйеш	8	4	11	6
итжон	6	4	11	6
шөлстан	6	4	11	6
айкенже	4	4	10	6
ақкекіл	6	3	10	6
атаукере	4	3	10	6
әмр	4	4	10	6
кәдірхан	5	4	10	6
күлбаршын	3	3	10	6
қырта	3	3	10	6
навин	6	3	10	6
рысжан	3	3	10	6
адабият	3	3	9	6
арқабек	8	4	9	6
әуелхан	6	4	9	6
байғұлан	5	4	9	6
буреке	3	3	9	6
екрек	7	3	9	6
каданс	7	4	9	6
лоторея	4	3	9	6
мөл	3	3	9	6
напа	3	3	9	6
олжабек	9	4	9	6
ряса	5	4	9	6
таке	3	3	9	6
хума	3	3	9	6
әліқұл	7	3	8	6
башла	3	3	8	6
бейль	9	3	8	6
горнизон	6	4	8	6
диа	3	3	8	6
жиһаншаһ	10	4	8	6
құлжатай	4	3	8	6
лмаш	10	4	8	6
оразқан	5	4	8	6
тәйни	6	3	8	6
һүндістан	4	3	8	6
ысеке	3	3	8	6
ақжамал	8	3	7	6
ахұн	4	3	7	6
жабықбай	4	3	7	6
зибаш	7	3	7	6
плат	6	3	7	6
тогі	3	3	7	6
халаж	6	3	7	6
хүн	6	3	7	6
шортық	8	3	7	6
ятсен	3	3	7	6
ашпара	3	3	6	6
деев	7	3	6	6
күнбала	3	3	6	6
қаламүш	7	3	6	6
қожахан	3	3	6	6
қүш	7	3	6	6
лоп	7	3	6	6
майке	3	3	6	6
тод	6	3	6	6
шорабай	4	3	6	6
қайрыл	40	44	990	5
доса	11	10	216	5
шалқа	6	9	215	5
кұн	31	17	117	5
баст	7	5	99	5
ұққ	6	6	94	5
күнәһы	10	11	92	5
үрп	9	8	90	5
жиы	8	10	83	5
корольд	10	11	79	5
тпе	11	8	76	5
мус	6	4	71	5
хайя	11	10	69	5
отырға	5	4	64	5
мәсе	19	11	58	5
чапа	4	4	57	5
әбдік	9	7	54	5
ханта	15	11	49	5
нұрқа	7	5	48	5
донбас	15	8	47	5
сәтеке	5	6	41	5
спа	3	3	41	5
сьез	14	9	41	5
диалогте	12	10	39	5
тұлабой	8	7	38	5
ішір	5	7	37	5
бағла	10	9	36	5
күстәна	7	6	33	5
сиым	12	7	33	5
ныс	15	9	30	5
гуз	8	5	25	5
кұт	10	7	25	5
узе	3	3	24	5
мәтеке	5	5	22	5
аспаһан	7	5	21	5
верт	5	5	21	5
ғұз	12	8	21	5
арқауыл	11	4	20	5
жәмбіл	14	6	19	5
жәнеке	4	4	18	5
клирик	8	4	18	5
осеке	4	4	18	5
пия	3	3	18	5
шұғла	9	6	18	5
джу	5	4	17	5
тәңіри	4	3	17	5
хиқая	13	8	17	5
абдух	12	6	16	5
параллел	10	5	16	5
түреке	5	4	16	5
үры	5	5	16	5
байтек	13	6	15	5
пормы	5	4	15	5
роял	6	3	15	5
штан	6	5	15	5
әлиза	5	5	14	5
әния	3	3	14	5
гүлшаһра	4	4	14	5
күнәһі	6	5	14	5
қалиян	8	5	14	5
марпл	11	4	14	5
өжең	4	4	14	5
ппе	5	4	14	5
ркел	4	4	14	5
сәрсебек	12	6	14	5
ыстамбол	12	5	14	5
белдем	4	3	13	5
вакуф	5	3	13	5
диагонал	12	5	13	5
жарт	6	4	13	5
көңбай	5	4	13	5
бәтиха	7	6	12	5
бірне	5	4	12	5
вла	3	3	12	5
воронков	8	4	12	5
ескеркіш	6	3	12	5
жамаш	10	4	12	5
жанеке	5	5	12	5
леся	4	4	12	5
майа	6	6	12	5
мос	5	3	12	5
сағырбай	4	3	12	5
хум	5	4	12	5
шаһарбан	4	3	12	5
бидаш	7	3	11	5
киеке	3	3	11	5
қапеке	3	3	11	5
меңтай	6	5	11	5
оро	4	4	11	5
пассажи	5	4	11	5
хайд	3	3	11	5
ырымбек	7	3	11	5
ыса	4	3	11	5
антонин	4	3	10	5
ебейсін	4	4	10	5
кайши	4	3	10	5
келісап	9	4	10	5
комедиант	6	3	10	5
кітабі	3	3	10	5
қазанбек	7	3	10	5
құсеке	3	4	10	5
мұза	4	4	10	5
риязат	6	4	10	5
секунт	8	4	10	5
айбөкен	3	3	9	5
алдасай	4	3	9	5
апполон	5	4	9	5
жәна	3	3	9	5
креш	6	3	9	5
қохан	4	3	9	5
нареке	3	3	9	5
хаюан	6	4	9	5
аргус	7	3	8	5
бирон	4	3	8	5
бұлыш	9	4	8	5
елентай	4	3	8	5
ера	4	3	8	5
зағира	4	4	8	5
заһит	5	3	8	5
көкбала	3	3	8	5
нәзи	4	3	8	5
остяк	6	3	8	5
поззия	3	3	8	5
сайбек	7	3	8	5
сатыш	5	3	8	5
сәйід	10	4	8	5
суг	3	3	8	5
ция	4	4	8	5
адепт	6	3	7	5
әул	4	3	7	5
жаббас	5	3	7	5
жанет	5	3	7	5
офорт	7	3	7	5
халаш	7	3	7	5
хион	6	3	7	5
шлиман	4	3	7	5
будин	6	3	6	5
ғалижан	3	3	6	5
жанасыл	7	3	6	5
жог	4	3	6	5
қапқаз	5	3	6	5
қарлаг	7	3	6	5
ларина	3	3	6	5
мағазин	5	3	6	5
мұғауия	3	3	6	5
нонни	6	3	6	5
рбаян	5	3	6	5
рекет	4	3	6	5
спрут	8	3	6	5
тайра	3	3	6	5
ткер	3	3	6	5
парқ	13	16	506	4
тре	11	10	244	4
сыйпа	24	20	207	4
гүлс	8	8	151	4
өлті	8	8	137	4
сәк	4	5	136	4
хүк	3	3	129	4
менік	6	4	125	4
хунн	22	14	109	4
жарылға	6	5	104	4
қаншай	7	7	86	4
ерса	7	7	76	4
разъез	16	10	75	4
венг	9	6	73	4
айр	4	7	71	4
шағ	6	7	66	4
дорж	9	8	61	4
морал	13	5	61	4
әтте	3	3	60	4
ойн	3	3	58	4
пла	9	8	56	4
павл	6	4	52	4
кұрмет	18	14	51	4
като	6	5	49	4
сиға	5	5	49	4
шпе	10	10	48	4
кела	9	7	44	4
абақа	3	3	41	4
дерб	3	3	40	4
мұх	3	3	40	4
зәке	5	5	37	4
леке	6	6	32	4
тапхана	11	9	31	4
сияса	3	3	30	4
гайд	3	3	29	4
тапсы	5	6	27	4
қыймыл	17	11	26	4
ғафа	7	7	25	4
көшеке	6	7	25	4
сәлә	4	4	25	4
уте	3	4	25	4
биаға	6	5	24	4
комикс	20	9	23	4
ахей	11	6	22	4
құлыс	9	6	22	4
үсе	5	5	22	4
әртү	7	6	21	4
бұяқ	9	5	21	4
күржістан	8	6	21	4
ахо	4	3	20	4
