# stem	patterns	forms	book-weight	bare — tools/discover.py
# candidates, not entries: read them before admitting them.
# `bare` is how many books write the stem on its own.
культі	4	4	82	37
бородин	8	5	33	37
тұщықұдық	11	6	26	37
қарадомалақ	14	7	24	37
кубань	11	6	20	37
ташауыз	8	4	17	37
өзбекқалиев	8	4	15	37
бекович	7	3	12	37
жетпісбай	5	3	9	37
флоренция	8	9	59	36
үйренбек	7	4	26	36
ассирия	4	4	18	36
страбон	5	4	16	36
күлімкөз	10	5	13	36
шаймерден	3	3	13	36
спираль	9	4	12	36
бекмырза	3	3	11	36
конфискация	4	4	11	36
повестка	3	3	11	36
федоровна	4	4	10	36
афанасий	6	4	8	36
файзолла	3	3	8	36
көкшолақ	11	5	41	35
баркөл	14	6	38	35
келдібек	10	4	31	35
ататүрік	8	4	25	35
мырзашөл	14	6	23	35
япония	6	6	21	35
есенғұл	9	4	18	35
сарыауыз	7	4	12	35
поволжье	4	4	11	35
қарамандыбас	5	3	8	35
афрасиаб	10	7	49	34
месопотамия	7	7	47	34
марқакөл	12	5	36	34
жанкелдин	7	4	28	34
сүйінқара	4	4	24	34
геракл	10	5	23	34
ұлықпан	5	4	21	34
тұрағұл	11	4	19	34
көшербай	5	4	15	34
бекарыстан	4	4	12	34
крупская	3	3	12	34
сәрсекеев	7	3	12	34
құнанорыс	7	3	7	34
қоритын	6	3	6	34
карфаген	12	8	56	33
кутузов	10	5	28	33
ходжент	9	5	27	33
қаражанбас	7	4	25	33
кембридж	11	6	20	33
сауытбек	12	6	19	33
төлегетай	5	4	16	33
петровский	5	4	12	33
зритель	7	3	11	33
мыңбұлақ	15	7	55	32
рысқұл	19	10	48	32
долгополов	18	10	47	32
самодержавие	6	6	40	32
сүйінғара	8	7	40	32
ахметбек	13	6	31	32
маңғыстаумұнайгаз	9	5	26	32
полтава	7	6	24	32
гоббс	7	4	22	32
несіпбек	9	4	21	32
дәуқара	6	6	20	32
тілеуқабыл	10	3	16	32
досмұхамбетов	7	3	15	32
молдабек	10	4	15	32
раушанов	11	5	14	32
темірбай	4	3	14	32
закавказье	6	6	13	32
псков	9	5	13	32
схематизм	18	11	50	31
төртуыл	14	6	44	31
канцелярия	7	7	32	31
десятник	16	7	28	31
мотивировка	6	4	24	31
андижан	7	5	23	31
сейітқұл	9	4	23	31
сергеевна	4	4	23	31
нұркен	6	5	22	31
иманасов	7	3	21	31
жантөрин	8	4	20	31
шерқала	4	4	18	31
тоқтағұл	12	5	15	31
полицейский	6	4	12	31
тақырбас	10	5	12	31
махачкала	3	3	10	31
этногенез	19	12	98	30
ботинка	9	10	67	30
андрусов	10	6	38	30
тыныбек	14	7	34	30
парменид	11	6	26	30
гильгамеш	11	5	23	30
досеке	3	3	22	30
политбюро	3	3	20	30
княгиня	8	6	19	30
темучин	6	3	19	30
ұрдажық	11	6	18	30
комсорг	7	4	15	30
пұсырман	5	4	13	30
самодержавия	3	3	13	30
вышка	6	4	10	30
елшібек	7	3	9	30
төрежан	3	3	9	30
келімбет	6	3	7	30
чертеж	27	14	57	29
балқия	10	11	52	29
есімхан	8	6	38	29
ясперс	9	6	31	29
рдеңе	6	5	30	29
помпей	5	4	28	29
сарыкөл	13	5	23	29
надзиратель	10	4	19	29
айтқұл	11	4	16	29
ащысай	5	4	16	29
балуанияз	8	4	15	29
асфендияров	5	3	12	29
дәндібай	7	4	10	29
ермекбай	4	3	10	29
луговой	5	4	9	29
ориентация	3	3	9	29
выставка	4	3	7	29
жетпейд	3	3	6	29
рабле	32	24	62	28
иваныч	9	5	22	28
байжұма	5	5	21	28
қоңырқұлжа	4	4	19	28
құмкент	8	4	19	28
қыземшек	9	4	18	28
наманган	5	4	15	28
бекбосын	3	3	14	28
симпатия	5	4	14	28
якорь	8	4	10	28
исфиджаб	7	3	8	28
площадка	4	3	6	28
қашқария	6	6	55	27
әмірсана	4	4	30	27
гостиница	6	6	23	27
императрица	6	5	23	27
катастрофа	8	6	21	27
нартайлақ	10	4	20	27
державин	5	4	19	27
байтұрсын	4	3	16	27
сельсовет	5	3	16	27
пролетарий	7	4	15	27
қуанышбай	5	4	14	27
экспертиза	3	3	12	27
донской	4	3	11	27
александровна	3	3	10	27
терещенко	4	3	9	27
детдом	5	3	8	27
жеребцов	10	4	8	27
кемелхан	4	3	8	27
доскей	5	3	6	27
солярка	7	6	25	26
диккенс	11	5	21	26
