# given	admitted	docs_given	docs_admitted — Russian-document spellings
# replaced by the Kazakh spelling the books show people writing
бактыбаев	бақтыбаев	0	9
бактыгали	бақтығали	3	13
бактыгереев	бақтыгереев	0	6
бактыгерей	бақтыгерей	0	15
бакшагул	бақшагүл	0	4
бакытжамал	бақытжамал	2	10
бакытжанов	бақытжанов	0	3
бакыткерей	бақыткерей	0	11
бакыткул	бақыткүл	0	5
бакытов	бақытов	0	3
бакытхан	бақытхан	0	4
балгабай	балғабай	2	19
балгерим	балгерім	0	4
балгынбек	балғынбек	0	4
балдаурен	балдәурен	4	28
балкия	балқия	4	29
балкумис	балкүміс	0	5
балкыбек	балқыбек	4	25
балнур	балнұр	0	4
баршагул	баршагүл	0	14
батима	бәтима	18	96
батыргали	батырғали	0	5
баянгали	баянғали	0	6
бегим	бегім	8	123
бегимбет	бегімбет	2	37
бейсенали	бейсенәлі	0	3
бейсенгали	бейсенғали	0	15
бекали	бекәлі	0	5
беккожа	бекқожа	0	29
бекмагамбетов	бекмағамбетов	2	12
бекмухаммед	бекмұхаммед	0	10
бекнур	бекнұр	0	3
бектуров	бектұров	7	32
бектурсынов	бектұрсынов	0	5
белгибаев	белгібаев	0	4
бердаулет	бердәулет	0	22
бердибаев	бердібаев	2	70
бердибай	бердібай	3	54
бердибеков	бердібеков	0	9
бердигали	бердіғали	0	12
бердикул	бердіқұл	0	13
бердихан	бердіхан	4	19
берикбаев	берікбаев	0	3
берикбол	берікбол	2	19
берикжан	берікжан	0	8
берикхан	берікхан	0	3
беркимбай	беркімбай	0	9
беркинбай	беркінбай	0	4
бибиажар	бибіажар	0	5
бибижан	бибіжан	0	17
бибихан	бибіхан	0	4
бигазы	биғазы	0	5
бигайша	биғайша	0	26
бижигит	бижігіт	0	3
бисенгалиев	бисенғалиев	2	10
бисултан	бисұлтан	0	4
богенбай	бөгенбай	14	211
бокейхан	бөкейхан	0	51
бокенбай	бөкенбай	5	82
бокенов	бөкенов	0	3
болаткан	болатқан	0	6
болекбаев	бөлекбаев	0	17
болекбай	бөлекбай	2	40
боранкул	боранқұл	2	28
буркитбаев	бүркітбаев	3	20
буркитбай	бүркітбай	2	45
бухарбаев	бұхарбаев	0	5
бухарбай	бұхарбай	4	17
габдолла	ғабдолла	5	99
габидолла	ғабидолла	0	10
габитов	ғабитов	0	28
гадилбек	ғаділбек	2	12
гайни	ғайни	2	46
гайникамал	ғайникамал	0	5
гайша	ғайша	4	49
галижан	ғалижан	0	5
галия	ғалия	27	120
галымжанов	ғалымжанов	0	4
галымов	ғалымов	0	6
гулайим	гүләйім	0	9
гулбарам	гүлбарам	0	6
гулбаршын	гүлбаршын	2	56
гулдарига	гүлдариға	0	4
гулдаурен	гүлдәурен	0	4
гулдерайым	гүлдерайым	0	8
гулжан	гүлжан	0	77
гулжанат	гүлжанат	0	5
гулзат	гүлзат	0	13
гулзина	гүлзина	0	4
гулзира	гүлзира	0	6
гулзия	гүлзия	0	7
гулимай	гүлімай	0	3
гулназия	гүлназия	0	3
гулнар	гүлнәр	3	36
гулсим	гүлсім	0	73
далелхан	дәлелхан	0	20
дамегул	дәмегүл	0	4
дамежан	дәмежан	0	15
даметкен	дәметкен	5	173
дамеш	дәмеш	4	47
дарибаев	дәрібаев	0	6
даукен	дәукен	2	9
даулетбек	дәулетбек	0	22
даулетжан	дәулетжан	0	5
даулетияр	дәулетияр	3	12
даулеткали	дәулетқали	0	9
даулеткерей	дәулеткерей	6	68
даулетхан	дәулетхан	0	14
дауренбек	дәуренбек	0	12
дауренбеков	дәуренбеков	2	11
дилмурат	ділмұрат	0	4
динислам	дінислам	0	4
динмухамед	дінмұхамед	6	47
динмухамет	дінмұхамет	0	5
динмухаммед	дінмұхаммед	3	22
динмуханбет	дінмұханбет	0	3
доскали	досқали	0	6
досмухамед	досмұхамед	0	7
дузелбай	дүзелбай	0	6
дуйсебаев	дүйсебаев	0	20
дуйсебай	дүйсебай	0	10
дуйсебек	дүйсебек	0	3
дуйсембаев	дүйсембаев	2	11
дуйсембай	дүйсембай	2	16
дуйсембек	дүйсембек	0	8
дуйсенбаев	дүйсенбаев	8	84
дуйсенбай	дүйсенбай	3	70
дуйсенбек	дүйсенбек	2	33
дуйсенбеков	дүйсенбеков	0	7
дуйсенгали	дүйсенғали	4	16
дуйсенгалиев	дүйсенғалиев	0	10
дуйсенкул	дүйсенкүл	0	3
дуйсенов	дүйсенов	4	42
дуйсенхан	дүйсенхан	0	4
егемберди	егемберді	0	5
егизбаев	егізбаев	0	8
