# given	admitted	docs_given	docs_admitted — Russian-document spellings
# replaced by the Kazakh spelling the books show people writing
нуржау	нұржау	0	12
нуржауган	нұржауған	0	3
нурила	нүрила	0	14
нуриман	нұриман	0	3
нуркан	нұрқан	2	34
нурканат	нұрқанат	0	6
нуркелди	нұркелді	0	5
нуркен	нұркен	2	31
нуркожа	нұрқожа	0	20
нурлыбаев	нұрлыбаев	0	9
нурлыбай	нұрлыбай	2	17
нурлыбек	нұрлыбек	7	45
нурлыбеков	нұрлыбеков	0	5
нурлыхан	нұрлыхан	5	31
нурмагамбет	нұрмағамбет	2	52
нурмагамбетов	нұрмағамбетов	7	43
нурмаганбет	нұрмағанбет	2	36
нурмаганбетов	нұрмағанбетов	2	22
нурман	нұрман	3	40
нурмахан	нұрмахан	5	38
нурмаханов	нұрмаханов	2	19
нурмаш	нұрмаш	0	7
нурмолда	нұрмолда	0	13
нурмукан	нұрмұқан	0	10
нурмухамбет	нұрмұхамбет	0	11
нурмухамед	нұрмұхамед	3	13
нурмухамет	нұрмұхамет	0	7
нурмухаммед	нұрмұхаммед	3	20
нурмухаммет	нұрмұхаммет	0	3
нурмуханбет	нұрмұханбет	0	8
нуролла	нұролла	0	6
нурсат	нұрсат	0	3
нурсауле	нұрсәуле	0	5
нурсейт	нұрсейт	0	3
нурсултанов	нұрсұлтанов	0	8
нуртаев	нұртаев	0	5
нуртаза	нұртаза	4	39
нуртазин	нұртазин	4	33
нуртай	нұртай	3	54
нурторе	нұртөре	0	5
нуртуган	нұртуған	2	28
нурымбет	нұрымбет	0	11
нурымжан	нұрымжан	0	3
нурымов	нұрымов	0	7
нурыш	нұрыш	0	21
нурышев	нұрышев	0	6
ныгметов	нығметов	0	7
омирбаев	өмірбаев	5	41
омирбек	өмірбек	2	53
омирбеков	өмірбеков	4	16
омиржан	өміржан	4	16
омирзаков	өмірзақов	0	46
омиртай	өміртай	0	35
омирхан	өмірхан	0	12
онайбай	оңайбай	5	20
оналбаев	оңалбаев	2	15
оналбай	оңалбай	0	8
оналбек	оңалбек	0	6
онгарбаев	оңғарбаев	3	22
ондасынов	оңдасынов	7	44
онласын	оңласын	0	15
оразали	оразәлі	0	10
оразгали	оразғали	2	28
оразгалиев	оразғалиев	0	12
оразкан	оразқан	0	6
оразкул	оразкүл	0	11
орынгул	орынгүл	0	6
орынкул	орынкүл	0	6
осербаев	өсербаев	0	7
осербай	өсербай	0	27
оскенбаев	өскенбаев	3	30
оскенбай	өскенбай	3	78
отебаев	өтебаев	5	56
отегенов	өтегенов	7	41
отемис	өтеміс	0	70
отепов	өтепов	4	16
отешов	өтешов	0	14
пернекул	пернекүл	0	3
рабига	рабиға	8	58
райкул	райкүл	0	7
ракымжан	рақымжан	2	55
раманкулов	раманқұлов	0	3
ратбек	рәтбек	0	6
рахманкул	рахманқұл	3	43
рахымберди	рахымберді	0	7
рукия	руқия	0	3
рустембек	рүстембек	2	12
рыскелди	рыскелді	0	10
рыскул	рысқұл	3	32
рыскулбек	рысқұлбек	0	5
рыскулов	рысқұлов	16	87
сабыргали	сабырғали	3	15
сагатбек	сағатбек	0	13
сагатов	сағатов	2	9
сагдат	сағдат	0	7
сагидолла	сағидолла	7	41
сагидулла	сағидулла	4	42
сагиев	сағиев	0	3
сагила	сағила	0	18
сагымбаев	сағымбаев	0	8
сагымбай	сағымбай	8	32
сагымбек	сағымбек	0	8
сагымбеков	сағымбеков	0	3
сагынай	сағынай	0	28
сагынбаев	сағынбаев	2	10
сагынбай	сағынбай	2	84
сагынбек	сағынбек	0	5
сагынгали	сағынғали	0	29
сагынгалиев	сағынғалиев	2	21
сагындыков	сағындықов	11	52
сагынжан	сағынжан	0	3
сагынов	сағынов	0	6
сагынтаев	сағынтаев	0	6
сагынтай	сағынтай	0	25
саден	сәден	0	10
садибек	сәдібек	0	17
садуакас	садуақас	10	76
садуакасов	сәдуақасов	3	55
садыкбек	садықбек	0	14
сайлаукул	сайлаукүл	0	5
сакан	сақан	2	20
сакен	сәкен	52	315
сакенов	сәкенов	3	12
сактаганов	сақтағанов	0	8
сактапберген	сақтапберген	0	4
салимгерей	сәлімгерей	2	33
салимжан	сәлімжан	3	25
самгат	самғат	0	3
сандибай	сәндібай	0	7
сандибек	сәндібек	0	7
саним	сәнім	0	82
саракул	саракүл	0	3
саркытбай	сарқытбай	0	3
сарсембай	сәрсембай	2	12
сарсен	сәрсен	16	122
сарсенбаев	сәрсенбаев	19	76
сарсенбай	сәрсенбай	16	76
сарсенбек	сәрсенбек	0	19
сарсенгали	сәрсенғали	2	15
сарсенкул	сәрсенкүл	0	3
сатбаев	сәтбаев	4	134
сатбек	сәтбек	4	19
саулебек	сәулебек	0	5
саулеш	сәулеш	0	15
сегизбаев	сегізбаев	5	26
сегизбай	сегізбай	3	44
сейилхан	сейілхан	2	76
сейтказы	сейтқазы	0	5
сейткали	сейтқали	0	14
сергалиев	серғалиев	0	8
серикбаев	серікбаев	2	43
серикбай	серікбай	8	105
серикжан	серікжан	3	15
серикказы	серікқазы	0	10
сериккали	серікқали	2	18
сериккалиев	серікқалиев	0	25
серикулы	серікұлы	0	3
сисенгали	сисенғали	2	9
скак	сқақ	0	6
смагул	смағұл	31	149
смагулов	смағұлов	8	47
султанали	сұлтанәлі	0	11
султанбай	сұлтанбай	0	9
султанбек	сұлтанбек	6	64
султангазы	сұлтанғазы	3	34
султангали	сұлтанғали	0	28
султанмахмут	сұлтанмахмұт	12	139
султанхан	сұлтанхан	0	5
сунгат	сұнғат	0	3
сыдыков	сыдықов	16	69
сыздыков	сыздықов	12	49
табига	табиға	0	12
тагыберген	тағыберген	0	5
тажен	тәжен	2	19
тажибек	тәжібек	0	6
тажихан	тәжіхан	0	4
талгар	талғар	11	102
талгатбек	талғатбек	0	9
танатар	таңатар	4	55
танжарык	таңжарық	0	35
танирберген	тәңірберген	4	72
танирбергенов	тәңірбергенов	2	20
тансулу	таңсұлу	0	10
таттигул	тәттігүл	0	5
таттимбет	тәттімбет	3	92
тауекелов	тәуекелов	0	6
тауке	тәуке	41	217
темирали	темірәлі	0	3
темирбай	темірбай	6	32
темирбек	темірбек	13	59
темиргали	темірғали	3	49
темиржан	теміржан	0	24
темирхан	темірхан	13	119
темирханов	темірханов	0	3
тенелбай	теңелбай	0	5
тилегенов	тілегенов	0	22
тилеубаев	тілеубаев	0	18
тилеубай	тілеубай	0	35
тилеубек	тілеубек	0	7
тилеуберген	тілеуберген	0	14
тилеубергенов	тілеубергенов	0	9
тилеуберди	тілеуберді	3	65
тилеужан	тілеужан	0	17
тилеухан	тілеухан	0	13
тогызбаев	тоғызбаев	2	9
токберген	тоқберген	0	6
токен	төкен	0	50
токенов	төкенов	0	5
токтагул	тоқтағұл	3	31
токтамыс	тоқтамыс	5	151
токтарбай	тоқтарбай	2	47
токтарбек	тоқтарбек	0	8
токтарбеков	тоқтарбеков	0	3
токтаров	тоқтаров	2	62
токтархан	тоқтархан	0	4
токтасын	тоқтасын	0	116
токтасынов	тоқтасынов	0	6
толебаев	төлебаев	0	69
толеби	төлеби	0	15
толеген	төлеген	18	444
толегенов	төлегенов	4	37
толемисов	төлемісов	0	4
толенди	төленді	0	73
толендиев	төлендиев	0	6
толенов	төленов	0	14
толепберген	төлепберген	2	44
толепбергенов	төлепбергенов	2	9
толепов	төлепов	0	15
толеубай	төлеубай	0	32
толеубек	төлеубек	0	21
толеугазы	төлеуғазы	0	9
толеугали	төлеуғали	0	8
толеужан	төлеужан	0	22
толеуов	төлеуов	0	12
толеутаев	төлеутаев	0	3
толеухан	төлеухан	0	14
толеш	төлеш	3	58
торебай	төребай	0	27
торебеков	төребеков	0	4
торегали	төреғали	2	34
торежан	төрежан	3	30
торемурат	төремұрат	2	49
торемуратов	төремұратов	0	7
торехан	төрехан	7	56
тореханов	төреханов	0	9
туганай	туғанай	0	3
тугелбаев	түгелбаев	0	18
туймебаев	түймебаев	0	3
туймебай	түймебай	0	5
тунгышбаев	тұңғышбаев	0	4
тунгышбай	тұңғышбай	0	16
туракбай	тұрақбай	0	6
турар	тұрар	43	1049
турарбек	тұрарбек	2	13
турарбеков	тұрарбеков	0	6
тураров	тұраров	0	4
тураш	тұраш	5	28
тургали	тұрғали	0	5
турганбаев	тұрғанбаев	3	21
турганбай	тұрғанбай	2	28
турганбек	тұрғанбек	0	11
турганбеков	тұрғанбеков	0	4
тургынбай	тұрғынбай	0	5
тургынбек	тұрғынбек	0	7
турдалы	тұрдалы	0	3
турдыбай	тұрдыбай	0	6
туркменбай	түркменбай	0	5
турлан	тұрлан	0	27
турлыбек	тұрлыбек	4	47
турмаганбет	тұрмағанбет	2	20
турсынали	тұрсынәлі	0	6
турсынбаев	тұрсынбаев	4	20
турсынбеков	тұрсынбеков	0	4
турсынгали	тұрсынғали	4	21
турсынов	тұрсынов	5	47
турысбек	тұрысбек	0	36
турысбеков	тұрысбеков	0	13
тусипбеков	түсіпбеков	0	5
туякбаев	тұяқбаев	2	15
туяков	тұяқов	2	12
уалихан	уәлихан	10	63
узакбай	ұзақбай	8	55
укибай	үкібай	0	22
улбике	ұлбике	3	24
улболсын	ұлболсын	0	11
улбосын	ұлбосын	3	20
улмекен	ұлмекен	3	13
ултай	ұлтай	0	6
ултуган	ұлтуған	0	14
улыкпан	ұлықпан	0	34
умбетов	үмбетов	3	13
умитай	үмітай	0	4
умитжан	үмітжан	0	3
умитхан	үмітхан	0	3
умсынай	ұмсынай	0	11
усенбай	үсенбай	0	16
ушкемпиров	үшкемпіров	0	5
халыков	халықов	2	9
ханбиби	ханбибі	3	32
хансултан	хансұлтан	0	9
хансулу	хансұлу	2	17
ханторе	хантөре	0	4
шаймурат	шаймұрат	0	12
шакарим	шәкәрім	33	182
шакен	шәкен	11	93
шалкарбай	шалқарбай	0	5
шамурат	шамұрат	0	6
шарипбек	шәріпбек	0	5
шарипхан	шәріпхан	0	15
шерали	шерәлі	0	6
шукирбай	шүкірбай	0	5
шынгыс	шыңғыс	9	443
шынгысхан	шыңғысхан	0	151
шындаулет	шындәулет	0	7
ыклас	ықлас	0	59
ырыскул	ырыскүл	0	3
